star_name,star_name,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_age_error_min,star_age_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_teff,star_teff_error_min,star_teff_error_max,Spectral type,mag_v,Visual magnitude errorminus,Visual magnitude errorplus,source (xml)
GJ 86,gj86,0.8,,,0.855,0.005,0.005,2.03,,,,,-0.24,,,5350.0,,,,6.17,,,
GJ 876,gj876,0.334,0.03,0.03,0.36,,,2.5,2.4,2.4,2.4,2.4,0.05,0.2,0.2,3350.0,300.0,300.0,,10.17,,,
GQ Lup,gqlup,0.7,,,,,,0.001,0.001,0.001,0.001,0.001,,,,,,,,11.4,,,
GSC 6214-210,gsc6214-210,0.6,,,,,,0.011,0.002,0.002,0.002,0.002,,,,,,,,,,,
GU Psc,gupsc,0.35,,,,,,0.1,0.03,0.03,0.03,0.03,,,,,,,,13.55,,,
HAT-47,hat-47,1.387,0.038,0.038,1.515,0.04,0.04,1.5,0.3,0.3,0.3,0.3,0.0,0.08,0.08,6703.0,50.0,50.0,,10.6,,,
HAT-48,hat-48,1.099,0.041,0.041,1.223,0.046,0.046,4.7,0.8,1.3,0.8,1.3,0.02,0.08,0.08,5946.0,50.0,50.0,,12.16,,,
 O I,oi,0.13,0.008,0.008,1.151,0.052,0.052,0.03,0.03,gov,0.03,gov,139.0,20.0,20.0,3.6,,,,hat-p-1,,,
HAT-P-11,hat-p-11,0.81,0.03,0.03,0.75,0.02,0.02,6.5,4.1,4.1,4.1,4.1,0.31,0.05,0.05,4780.0,50.0,50.0,,9.59,,,
HAT-P-12,hat-p-12,0.73,0.02,0.02,0.7,0.01,0.01,2.5,2.0,2.0,2.0,2.0,-0.29,0.05,0.05,4650.0,60.0,60.0,,12.84,,,
HAT-P-13,hat-p-13,1.22,0.1,0.1,1.56,0.08,0.08,5.0,0.8,0.8,0.8,0.8,0.43,0.08,0.08,5638.0,90.0,90.0,,10.62,,,
HAT-P-14,hat-p-14,1.386,0.045,0.045,1.468,0.054,0.054,1.3,0.4,0.4,0.4,0.4,0.11,0.08,0.08,6600.0,90.0,90.0,,9.98,,,
HAT-P-15,hat-p-15,1.013,0.043,0.043,1.08,0.043,0.043,6.8,1.6,1.6,1.6,1.6,0.22,0.08,0.08,5568.0,90.0,90.0,,12.16,,,
HAT-P-16,hat-p-16,1.218,0.039,0.039,1.237,0.054,0.054,2.0,0.8,0.8,0.8,0.8,0.17,0.08,0.08,6158.0,80.0,80.0,,10.8,,,
