pl_hostname,pl_hostname,st_mass,st_masserr2,st_masserr1,st_rad,st_raderr2,st_raderr1,st_age,st_ageerr2,st_ageerr1,Age [Gyr] lowerlimit,Age [Gyr] upperlimit,st_metfe,st_metfeerr2,st_metfeerr1,st_teff,st_tefferr2,st_tefferr1,Spectral type,st_optmag,st_optmagerr,st_optmagerr,source (xml)
Kepler-50,Kepler-50,1.24,0.05,0.05,1.58,0.02,0.02,3.800,0.800,0.800,,,0.030,0.060,0.060,6225.00,66.00,66.00,,10.421,,,
Kepler-51,Kepler-51,1.04,0.12,0.12,0.94,0.50,0.50,0.300,2.300,2.300,,,-0.079,,,6018.00,107.00,107.00,,14.669,,,
Kepler-52,Kepler-52,0.54,,,0.56,0.02,0.02,,,,,,-0.289,,,4263.00,100.00,100.00,,15.095,,,
Kepler-53,Kepler-53,0.98,,,0.89,,,,,,,,,,,5858.00,,,,15.386,,,
Kepler-54,Kepler-54,0.51,,,0.55,0.02,0.02,,,,,,-0.036,,,4252.00,100.00,100.00,,15.847,,,
Kepler-55,Kepler-55,0.62,,,0.62,0.03,0.03,,,,,,-0.201,,,4503.00,100.00,100.00,,15.791,,,
Kepler-56,Kepler-56,1.32,0.13,0.13,4.23,0.15,0.15,3.500,1.300,1.300,,,0.200,0.160,0.160,4840.00,97.00,97.00,,12.440,,,
Kepler-57,Kepler-57,0.83,,,0.73,,,,,,,,-0.045,,,5145.00,,,,14.809,,,
Kepler-58,Kepler-58,0.95,,,1.13,0.53,0.53,,,,,,-0.120,,,6099.00,200.00,200.00,,14.820,,,
Kepler-59,Kepler-59,1.04,,,0.94,,,,,,,,-0.253,,,6074.00,,,,14.307,,,
Kepler-60,Kepler-60,1.04,0.08,0.08,1.26,0.09,0.09,,,,,,-0.090,0.100,0.100,5905.00,144.00,144.00,,13.959,,,
Kepler-62,Kepler-62,0.69,0.02,0.02,0.64,0.02,0.02,7.000,4.000,4.000,,,-0.370,0.040,0.040,4925.00,70.00,70.00,,13.725,,,
Kepler-63,Kepler-63,0.98,0.04,0.04,0.90,0.02,0.03,0.210,0.045,0.045,,,0.050,0.080,0.080,5576.00,50.00,50.00,,12.020,,,
Kepler-65,Kepler-65,1.25,0.06,0.06,1.41,0.03,0.03,2.900,0.700,0.700,,,0.170,0.060,0.060,6211.00,66.00,66.00,,11.018,,,
Kepler-67,Kepler-67,0.86,0.03,0.03,0.78,0.03,0.03,1.000,0.170,0.170,,,-0.200,0.100,0.100,5331.00,63.00,63.00,,16.400,,,
Kepler-68,Kepler-68,1.08,0.05,0.05,1.24,0.02,0.02,6.300,1.700,1.700,,,0.120,0.074,0.074,5793.00,74.00,74.00,,9.990,0.180,0.180,
Kepler-69,Kepler-69,0.81,0.08,0.09,0.93,0.12,0.18,,,,,,-0.290,0.150,0.150,5638.00,168.00,168.00,,14.000,,,
KOI-55,KOI-55,0.50,0.00,0.00,0.20,0.01,0.01,,,,,,-0.106,,,27730.00,270.00,270.00,,14.870,0.020,0.020,
KOI-217,KOI-217,0.95,,0.05,0.86,,0.02,,,,,,0.220,,,5545.00,,,,15.127,,,
Kepler-74,Kepler-74,1.18,0.04,0.04,1.12,0.04,0.04,0.800,0.500,0.900,,,0.420,0.110,0.110,6000.00,100.00,100.00,,14.230,,,
Kepler-81,Kepler-81,0.64,0.23,0.38,0.59,0.03,0.03,,,,,,-0.524,,,4500.00,116.00,116.00,,15.019,,,
