Primary star name(from standardize_OEC_star.csv),star_name(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun](from standardize_OEC_star.csv),star_mass(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun] errorminus(from standardize_OEC_star.csv),star_mass_error_min(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun] errorplus(from standardize_OEC_star.csv),star_mass_error_max(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun](from standardize_OEC_star.csv),star_radius(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun] errorminus(from standardize_OEC_star.csv),star_radius_error_min(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun] errorplus(from standardize_OEC_star.csv),star_radius_error_max(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr](from standardize_OEC_star.csv),star_age(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] errorminus(from standardize_OEC_star.csv),star_age_error_min(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] errorplus(from standardize_OEC_star.csv),star_age_error_max(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] lowerlimit(from standardize_OEC_star.csv),star_age_error_min(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] upperlimit(from standardize_OEC_star.csv),star_age_error_max(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H](from standardize_OEC_star.csv),star_metallicity(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorminus(from standardize_OEC_star.csv),star_metallicity_error_min(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorplus(from standardize_OEC_star.csv),star_metallicity_error_max(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K](from standardize_OEC_star.csv),star_teff(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K] errorminus(from standardize_OEC_star.csv),star_teff_error_min(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K] errorplus(from standardize_OEC_star.csv),star_teff_error_max(from standardize_EU_Catalogue_Star_Data.csv),Spectral type(from standardize_OEC_star.csv),Spectral type(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude(from standardize_OEC_star.csv),mag_v(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude errorminus(from standardize_OEC_star.csv),Visual magnitude errorminus(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude errorplus(from standardize_OEC_star.csv),Visual magnitude errorplus(from standardize_EU_Catalogue_Star_Data.csv),source (xml)(from standardize_OEC_star.csv),source (xml)(from standardize_EU_Catalogue_Star_Data.csv)
Kepler-1138,Kepler-1138,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.153,0.14,0.135,,,65.2,65.24,62.2,62.16,,,,,,,,,Kepler-1138.xml,
Kepler-1139,Kepler-1139,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.152,0.13,0.128,,,153.9,153.89,105.4,105.36,,,,,,,,,Kepler-1139.xml,
Kepler-114,Kepler-114,0.7090,0.71,0.0230,0.2,0.0230,0.15,0.667,0.65,.035,0.02,0.035,0.02,,,,,,,,,,,,-0.003,,,,,4605,4450.0,100,,100,,,,,13.7,,,,,Kepler-114.xml,
Kepler-1140,Kepler-1140,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.149,,,47.7,47.66,53.1,53.07,,,,,,,,,Kepler-1140.xml,
Kepler-1141,Kepler-1141,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.091,0.09,0.087,,,65.1,65.12,58.4,58.41,,,,,,,,,Kepler-1141.xml,
Kepler-1142,Kepler-1142,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.171,0.12,0.124,,,,,98.6,98.59,,,,,,,,,Kepler-1142.xml,
Kepler-1143,Kepler-1143,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.171,,,,,130.2,130.21,192.9,192.88,,,,,,,,,Kepler-1143.xml,
Kepler-1144,Kepler-1144,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.178,0.14,0.141,,,86.3,86.29,91.9,91.93,,,,,,,,,Kepler-1144.xml,
Kepler-1145,Kepler-1145,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.193,0.18,0.177,,,117.4,117.37,161.0,161.02,,,,,,,,,Kepler-1145.xml,
Kepler-1146,Kepler-1146,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.158,0.14,0.143,,,42.2,42.25,45.9,45.94,,,,,,,,,Kepler-1146.xml,
Kepler-1147,Kepler-1147,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.142,0.15,0.147,,,114.4,114.44,84.8,84.81,,,,,,,,,Kepler-1147.xml,
Kepler-1148,Kepler-1148,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.146,,,98.3,98.31,99.6,99.64,,,,,,,,,Kepler-1148.xml,
Kepler-1149,Kepler-1149,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.168,0.15,0.149,,,177.0,177.03,,,,,,,,,,,Kepler-1149.xml,
Kepler-115,Kepler-115,1.0400,1.0,0.1100,,0.1100,,1.205,1.21,,,,,,,,,,,,,,,,-0.081,,,,,,,32,132.0,,,,,,,,,,,Kepler-115.xml,
Kepler-1150,Kepler-1150,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.162,0.15,0.147,,,77.3,77.33,80.4,80.38,,,,,,,,,Kepler-1150.xml,
Kepler-1151,Kepler-1151,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.187,0.17,0.166,,,93.6,93.64,97.2,97.19,,,,,,,,,Kepler-1151.xml,
Kepler-1152,Kepler-1152,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.108,0.14,0.136,,,45.7,45.68,46.5,46.47,,,,,,,,,Kepler-1152.xml,
Kepler-1153,Kepler-1153,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.164,0.13,0.126,,,93.5,93.55,,,,,,,,,,,Kepler-1153.xml,
Kepler-1154,Kepler-1154,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.161,,,,,262.9,262.85,,,,,,,,,,,Kepler-1154.xml,
Kepler-1155,Kepler-1155,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.156,0.14,0.141,,,141.6,141.61,115.9,115.89,,,,,,,,,Kepler-1155.xml,
Kepler-1156,Kepler-1156,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.095,0.10,0.096,,,59.0,59.01,67.4,67.42,,,,,,,,,Kepler-1156.xml,
Kepler-1157,Kepler-1157,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.177,0.15,0.147,,,58.0,58.05,54.7,54.66,,,,,,,,,Kepler-1157.xml,
Kepler-1158,Kepler-1158,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.096,,,81.1,81.11,91.2,91.16,,,,,,,,,Kepler-1158.xml,
Kepler-1159,Kepler-1159,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.148,0.14,0.139,,,196.7,196.66,147.7,147.74,,,,,,,,,Kepler-1159.xml,
Kepler-116,Kepler-116,1.2060,1.16,0.0680,,0.0680,,1.454,1.45,.273,0.27,0.273,0.27,,,,,,,,,,,,-0.064,,,,,,,,,,,,,,,,,,,Kepler-116.xml,
Kepler-1160,Kepler-1160,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.163,0.13,0.127,,,63.4,63.44,61.2,61.23,,,,,,,,,Kepler-1160.xml,
Kepler-1161,Kepler-1161,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.148,0.13,0.133,,,52.8,52.76,55.1,55.15,,,,,,,,,Kepler-1161.xml,
Kepler-1162,Kepler-1162,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.149,0.15,0.148,,,58.9,58.89,61.7,61.74,,,,,,,,,Kepler-1162.xml,
Kepler-1163,Kepler-1163,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.085,0.08,0.079,,,64.0,63.95,69.7,69.67,,,,,,,,,Kepler-1163.xml,
Kepler-1164,Kepler-1164,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.105,0.10,0.105,,,63.8,63.78,80.3,80.28,,,,,,,,,Kepler-1164.xml,
Kepler-1165,Kepler-1165,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.155,0.14,0.135,,,116.0,115.97,97.2,97.21,,,,,,,,,Kepler-1165.xml,
Kepler-1166,Kepler-1166,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.143,,,87.6,87.62,83.2,83.15,,,,,,,,,Kepler-1166.xml,
Kepler-1167,Kepler-1167,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.175,0.16,0.163,,,,,96.6,96.57,,,,,,,,,Kepler-1167.xml,
Kepler-1168,Kepler-1168,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.167,0.15,0.152,,,55.9,55.91,47.0,47.04,,,,,,,,,Kepler-1168.xml,
Kepler-1169,Kepler-1169,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.059,0.07,0.067,,,76.5,76.47,80.5,80.54,,,,,,,,,Kepler-1169.xml,
Kepler-117,Kepler-117,1.129,,0.023,,0.13,,1.606,1.47,0.049,0.28,0.049,0.28,5.3,,1.4,,1.4,,,,,,-0.04,-0.038,0.10,,0.10,,6150,6169.0,110,100.0,110,100.0,,,14.29,,0.018,,0.018,,Kepler-117.xml,
Kepler-1170,Kepler-1170,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.189,0.18,0.177,,,,,120.4,120.38,,,,,,,,,Kepler-1170.xml,
Kepler-1171,Kepler-1171,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.175,0.15,0.152,,,199.1,199.09,277.7,277.69,,,,,,,,,Kepler-1171.xml,
Kepler-1172,Kepler-1172,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.193,0.14,0.145,,,137.7,137.66,144.9,144.94,,,,,,,,,Kepler-1172.xml,
Kepler-1173,Kepler-1173,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.164,0.15,0.148,,,116.8,116.76,92.5,92.48,,,,,,,,,Kepler-1173.xml,
Kepler-1174,Kepler-1174,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.205,0.15,0.148,,,103.8,103.81,117.3,117.34,,,,,,,,,Kepler-1174.xml,
Kepler-1175,Kepler-1175,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.178,0.15,0.153,,,80.4,80.38,66.2,66.21,,,,,,,,,Kepler-1175.xml,
Kepler-1176,Kepler-1176,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.165,0.14,0.138,,,268.6,268.56,264.6,264.61,,,,,,,,,Kepler-1176.xml,
Kepler-1177,Kepler-1177,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.102,0.10,0.096,,,66.7,66.68,63.0,62.98,,,,,,,,,Kepler-1177.xml,
Kepler-1178,Kepler-1178,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.173,0.15,0.155,,,68.5,68.54,58.4,58.43,,,,,,,,,Kepler-1178.xml,
Kepler-1179,Kepler-1179,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.169,0.15,0.148,,,65.7,65.67,65.5,65.46,,,,,,,,,Kepler-1179.xml,
Kepler-118,Kepler-118,0.7700,0.86,0.1300,,0.1300,,1.094,1.09,.489,0.49,0.489,0.49,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,Kepler-118.xml,
Kepler-1180,Kepler-1180,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.178,0.14,0.136,,,227.0,226.98,243.5,243.54,,,,,,,,,Kepler-1180.xml,
Kepler-1181,Kepler-1181,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.166,0.13,0.126,,,87.3,87.31,82.3,82.26,,,,,,,,,Kepler-1181.xml,
Kepler-1182,Kepler-1182,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.136,,,,,202.4,202.44,,,,,,,,,Kepler-1182.xml,
Kepler-1183,Kepler-1183,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.166,0.14,0.144,,,,,121.5,121.54,,,,,,,,,Kepler-1183.xml,
Kepler-1184,Kepler-1184,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.182,0.15,0.146,,,118.7,118.73,110.0,110.01,,,,,,,,,Kepler-1184.xml,
Kepler-1185,Kepler-1185,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.086,0.09,0.092,,,58.8,58.78,,,,,,,,,,,Kepler-1185.xml,
Kepler-1186,Kepler-1186,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.172,0.14,0.138,,,72.3,72.34,68.4,68.42,,,,,,,,,Kepler-1186.xml,
Kepler-1187,Kepler-1187,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.171,0.15,0.147,,,129.1,129.11,,,,,,,,,,,Kepler-1187.xml,
Kepler-1188,Kepler-1188,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.195,,,,,106.8,106.82,,,,,,,,,,,Kepler-1188.xml,
Kepler-1189,Kepler-1189,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.142,0.14,0.143,,,184.7,184.74,122.0,121.95,,,,,,,,,Kepler-1189.xml,
Kepler-119,Kepler-119,0.9180,,0.0340,,0.0340,,0.839,0.84,.319,0.32,0.319,0.32,,,,,,,,,,,,-0.083,,,,,,,,,,,,,,,,,,,Kepler-119.xml,
Kepler-1190,Kepler-1190,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.161,0.15,0.149,,,39.6,39.65,40.0,39.96,,,,,,,,,Kepler-1190.xml,
Kepler-1191,Kepler-1191,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.182,0.16,0.157,,,83.3,83.33,107.8,107.78,,,,,,,,,Kepler-1191.xml,
Kepler-1192,Kepler-1192,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.199,0.19,0.187,,,57.2,57.17,67.2,67.15,,,,,,,,,Kepler-1192.xml,
Kepler-1193,Kepler-1193,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.076,0.07,0.074,,,61.1,61.06,75.0,75.02,,,,,,,,,Kepler-1193.xml,
Kepler-1194,Kepler-1194,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.105,0.10,0.104,,,79.8,79.79,97.1,97.14,,,,,,,,,Kepler-1194.xml,
Kepler-1195,Kepler-1195,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.212,0.19,0.194,,,80.2,80.25,111.3,111.27,,,,,,,,,Kepler-1195.xml,
Kepler-1196,Kepler-1196,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.166,,,,,,,129.4,129.38,,,,,,,,,Kepler-1196.xml,
Kepler-1197,Kepler-1197,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.097,0.10,0.099,,,50.9,50.89,63.3,63.31,,,,,,,,,Kepler-1197.xml,
Kepler-1198,Kepler-1198,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.171,0.16,0.157,,,98.5,98.45,80.3,80.26,,,,,,,,,Kepler-1198.xml,
Kepler-1199,Kepler-1199,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.128,0.12,0.116,,,64.9,64.89,84.3,84.29,,,,,,,,,Kepler-1199.xml,
Kepler-12,Kepler-12,1.09,1.166,0.09,0.054,0.13,0.054,1.42,1.483,0.24,0.029,0.30,0.029,,4.0,,0.4,,0.4,,0.4,,0.4,0.08,0.07,0.14,0.04,0.13,0.04,5953,5947.0,123,100.0,105,100.0,g0,,,,,,,,Kepler-12.xml,
Kepler-120,Kepler-120,0.6540,,0.0140,,0.0140,,0.534,0.53,.028,0.03,0.028,0.03,,,,,,,,,,,,-0.449,,,,,,,50,150.0,,,,,,,,,,,Kepler-120.xml,
Kepler-1200,Kepler-1200,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.196,0.16,0.156,,,140.0,139.97,101.0,101.02,,,,,,,,,Kepler-1200.xml,
Kepler-1201,Kepler-1201,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.167,0.13,0.131,,,232.3,232.29,,,,,,,,,,,Kepler-1201.xml,
Kepler-1202,Kepler-1202,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.147,,,131.5,131.48,81.0,80.98,,,,,,,,,Kepler-1202.xml,
Kepler-1203,Kepler-1203,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.088,0.09,0.092,,,35.8,35.84,,,,,,,,,,,Kepler-1203.xml,
Kepler-1204,Kepler-1204,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.145,0.13,0.127,,,121.1,121.08,88.4,88.38,,,,,,,,,Kepler-1204.xml,
Kepler-1205,Kepler-1205,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.165,0.16,0.162,,,71.3,71.27,84.8,84.83,,,,,,,,,Kepler-1205.xml,
Kepler-1206,Kepler-1206,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.147,,,79.6,79.61,55.2,55.23,,,,,,,,,Kepler-1206.xml,
Kepler-1207,Kepler-1207,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.155,0.14,0.145,,,99.9,99.94,88.3,88.29,,,,,,,,,Kepler-1207.xml,
Kepler-1208,Kepler-1208,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.173,0.15,0.148,,,108.6,108.59,110.9,110.88,,,,,,,,,Kepler-1208.xml,
Kepler-1209,Kepler-1209,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.085,,,59.1,59.14,71.2,71.25,,,,,,,,,Kepler-1209.xml,
Kepler-121,Kepler-121,0.8590,,0.0360,,0.0360,,0.701,0.7,,,,,,,,,,,,,,,,-0.38,,,,,,,,,,,,,,,,,,,Kepler-121.xml,
Kepler-1210,Kepler-1210,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.166,0.14,0.138,,,91.6,91.62,67.2,67.19,,,,,,,,,Kepler-1210.xml,
Kepler-1211,Kepler-1211,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.194,0.17,0.165,,,77.7,77.68,123.2,123.21,,,,,,,,,Kepler-1211.xml,
Kepler-1212,Kepler-1212,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.151,0.13,0.134,,,,,144.8,144.84,,,,,,,,,Kepler-1212.xml,
Kepler-1213,Kepler-1213,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.083,0.08,0.076,,,81.7,81.73,74.6,74.56,,,,,,,,,Kepler-1213.xml,
Kepler-1214,Kepler-1214,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.146,0.15,0.155,,,48.0,47.96,48.2,48.18,,,,,,,,,Kepler-1214.xml,
Kepler-1215,Kepler-1215,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.139,,,130.1,130.14,92.6,92.62,,,,,,,,,Kepler-1215.xml,
Kepler-1216,Kepler-1216,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.158,,,,,78.0,77.97,73.7,73.65,,,,,,,,,Kepler-1216.xml,
Kepler-1217,Kepler-1217,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.162,0.14,0.144,,,103.7,103.67,82.9,82.88,,,,,,,,,Kepler-1217.xml,
Kepler-1218,Kepler-1218,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.111,,,,,76.6,76.59,91.3,91.33,,,,,,,,,Kepler-1218.xml,
Kepler-1219,Kepler-1219,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.085,0.14,0.136,,,81.7,81.66,91.3,91.26,,,,,,,,,Kepler-1219.xml,
Kepler-122,Kepler-122,1.0700,0.99,0.1000,,0.1000,,1.216,1.22,0.239,0.24,0.239,0.24,,,,,,,,,,,,-0.202,,,,,,,37,137.0,,,,,,,,,,,Kepler-122.xml,
Kepler-1220,Kepler-1220,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.182,0.14,0.145,,,266.3,266.34,246.4,246.43,,,,,,,,,Kepler-1220.xml,
Kepler-1221,Kepler-1221,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.163,0.16,0.156,,,51.5,51.51,,,,,,,,,,,Kepler-1221.xml,
Kepler-1222,Kepler-1222,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.176,0.15,0.147,,,82.3,82.33,,,,,,,,,,,Kepler-1222.xml,
Kepler-1223,Kepler-1223,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.166,0.16,0.164,,,52.2,52.19,49.9,49.87,,,,,,,,,Kepler-1223.xml,
Kepler-1224,Kepler-1224,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.082,0.08,0.081,,,56.7,56.71,64.8,64.75,,,,,,,,,Kepler-1224.xml,
Kepler-1225,Kepler-1225,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.185,0.14,0.136,,,,,,,,,,,,,,,Kepler-1225.xml,
Kepler-1226,Kepler-1226,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.205,0.16,0.159,,,124.2,124.19,147.6,147.56,,,,,,,,,Kepler-1226.xml,
Kepler-1227,Kepler-1227,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.188,0.14,0.144,,,151.1,151.11,108.4,108.41,,,,,,,,,Kepler-1227.xml,
Kepler-1228,Kepler-1228,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.248,0.18,0.179,,,81.2,81.19,94.8,94.76,,,,,,,,,Kepler-1228.xml,
Kepler-1229,Kepler-1229,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.109,0.09,0.086,,,38.6,38.61,38.9,38.88,,,,,,,,,Kepler-1229.xml,
Kepler-123,Kepler-123,,1.03,,,,,1.264,1.26,.243,0.24,0.243,0.24,,,,,,,,,,,,-0.199,,,,,,,21,121.0,,,,,,,,,,,Kepler-123.xml,
Kepler-1230,Kepler-1230,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.153,0.14,0.143,,,116.2,116.25,134.0,134.01,,,,,,,,,Kepler-1230.xml,
Kepler-1231,Kepler-1231,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.152,0.15,0.151,,,,,80.3,80.33,,,,,,,,,Kepler-1231.xml,
Kepler-1232,Kepler-1232,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.154,0.15,0.147,,,,,75.3,75.31,,,,,,,,,Kepler-1232.xml,
Kepler-1233,Kepler-1233,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.161,0.13,0.128,,,168.5,168.47,139.1,139.13,,,,,,,,,Kepler-1233.xml,
Kepler-1234,Kepler-1234,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.158,0.14,0.143,,,63.0,63.05,,,,,,,,,,,Kepler-1234.xml,
Kepler-1235,Kepler-1235,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.173,0.14,0.145,,,83.3,83.29,78.9,78.94,,,,,,,,,Kepler-1235.xml,
Kepler-1236,Kepler-1236,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.174,0.15,0.154,,,,,156.0,155.96,,,,,,,,,Kepler-1236.xml,
Kepler-1237,Kepler-1237,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.158,0.16,0.159,,,,,73.6,73.56,,,,,,,,,Kepler-1237.xml,
Kepler-1238,Kepler-1238,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.144,,,,,299.5,299.46,341.3,341.26,,,,,,,,,Kepler-1238.xml,
Kepler-1239,Kepler-1239,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.172,0.13,0.129,,,198.4,198.42,153.5,153.47,,,,,,,,,Kepler-1239.xml,
Kepler-124,Kepler-124,0.8410,,0.0270,,0.0270,,0.636,0.64,,,,,,,,,,,,,,,,-0.535,,,,,,,,,,,,,,,,,,,Kepler-124.xml,
Kepler-1240,Kepler-1240,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.159,0.14,0.138,,,,,103.3,103.27,,,,,,,,,Kepler-1240.xml,
Kepler-1241,Kepler-1241,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.185,0.15,0.153,,,119.8,119.79,180.7,180.72,,,,,,,,,Kepler-1241.xml,
Kepler-1242,Kepler-1242,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.169,0.13,0.129,,,57.6,57.56,84.6,84.63,,,,,,,,,Kepler-1242.xml,
Kepler-1243,Kepler-1243,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.168,0.14,0.135,,,139.8,139.83,113.9,113.87,,,,,,,,,Kepler-1243.xml,
Kepler-1244,Kepler-1244,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.165,0.14,0.143,,,106.3,106.27,,,,,,,,,,,Kepler-1244.xml,
Kepler-1245,Kepler-1245,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.143,,,102.0,101.98,77.5,77.49,,,,,,,,,Kepler-1245.xml,
Kepler-1246,Kepler-1246,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.163,0.16,0.158,,,51.3,51.31,49.7,49.69,,,,,,,,,Kepler-1246.xml,
Kepler-1247,Kepler-1247,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.156,0.14,0.141,,,112.6,112.59,116.5,116.55,,,,,,,,,Kepler-1247.xml,
Kepler-1248,Kepler-1248,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.077,0.07,0.075,,,,,83.2,83.25,,,,,,,,,Kepler-1248.xml,
Kepler-1249,Kepler-1249,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.153,0.13,0.131,,,201.7,201.72,133.6,133.62,,,,,,,,,Kepler-1249.xml,
Kepler-125,Kepler-125,0.5370,0.55,0.0370,,0.0370,,0.512,0.51,.021,0.02,0.021,0.02,,,,,,,,,,,,0.126,,,,,,,50,150.0,,,,,,,,,,,Kepler-125.xml,
Kepler-1250,Kepler-1250,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.178,0.14,0.139,,,82.5,82.51,71.4,71.36,,,,,,,,,Kepler-1250.xml,
Kepler-1251,Kepler-1251,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.177,0.15,0.148,,,95.2,95.15,85.5,85.54,,,,,,,,,Kepler-1251.xml,
Kepler-1252,Kepler-1252,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.161,0.14,0.137,,,218.4,218.38,,,,,,,,,,,Kepler-1252.xml,
Kepler-1253,Kepler-1253,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.145,0.15,0.147,,,56.4,56.44,65.9,65.89,,,,,,,,,Kepler-1253.xml,
Kepler-1254,Kepler-1254,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.203,0.15,0.149,,,45.0,45.04,,,,,,,,,,,Kepler-1254.xml,
Kepler-1255,Kepler-1255,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.161,0.13,0.133,,,186.8,186.81,134.7,134.73,,,,,,,,,Kepler-1255.xml,
Kepler-1256,Kepler-1256,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.077,0.09,0.092,,,69.3,69.29,67.9,67.94,,,,,,,,,Kepler-1256.xml,
Kepler-1257,Kepler-1257,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.177,0.15,0.147,,,93.9,93.92,168.3,168.32,,,,,,,,,Kepler-1257.xml,
Kepler-1258,Kepler-1258,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.182,0.14,0.145,,,73.5,73.45,79.2,79.16,,,,,,,,,Kepler-1258.xml,
Kepler-1259,Kepler-1259,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.169,0.14,0.144,,,67.6,67.62,113.6,113.64,,,,,,,,,Kepler-1259.xml,
Kepler-126,Kepler-126,1.1100,,0.0560,,0.0560,,1.358,1.36,0.024,0.02,0.024,0.02,,,,,,,,,,,,,,,,,,,,,,,,,10.51,,0.04,,0.04,,Kepler-126.xml,
