Primary planet name(from standardize_OEC_planet.csv),# name(from standardize_EU_Catalogue_Data.csv),Lists(from standardize_OEC_planet.csv),Lists(from standardize_EU_Catalogue_Data.csv),Mass [Mjup](from standardize_OEC_planet.csv),mass(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] errorminus(from standardize_OEC_planet.csv),mass_error_min(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] errorplus(from standardize_OEC_planet.csv),mass_error_max(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] lowerlimit(from standardize_OEC_planet.csv),mass_error_min(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] upperlimit(from standardize_OEC_planet.csv),mass_error_max(from standardize_EU_Catalogue_Data.csv),Radius [Rjup](from standardize_OEC_planet.csv),radius(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] errorminus(from standardize_OEC_planet.csv),radius_error_min(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] errorplus(from standardize_OEC_planet.csv),radius_error_max(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] lowerlimit(from standardize_OEC_planet.csv),Radius [Rjup] lowerlimit(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] upperlimit(from standardize_OEC_planet.csv),Radius [Rjup] upperlimit(from standardize_EU_Catalogue_Data.csv),Orbital period [days](from standardize_OEC_planet.csv),orbital_period(from standardize_EU_Catalogue_Data.csv),Orbital period [days] errorminus(from standardize_OEC_planet.csv),orbital_period_error_min(from standardize_EU_Catalogue_Data.csv),Orbital period [days] errorplus(from standardize_OEC_planet.csv),orbital_period_error_max(from standardize_EU_Catalogue_Data.csv),Orbital period [days] lowerlimit(from standardize_OEC_planet.csv),Orbital period [days] lowerlimit(from standardize_EU_Catalogue_Data.csv),Orbital period [days] upperlimit(from standardize_OEC_planet.csv),Orbital period [days] upperlimit(from standardize_EU_Catalogue_Data.csv),Eccentricity(from standardize_OEC_planet.csv),eccentricity(from standardize_EU_Catalogue_Data.csv),Eccentricity errorminus(from standardize_OEC_planet.csv),eccentricity_error_min(from standardize_EU_Catalogue_Data.csv),Eccentricity errorplus(from standardize_OEC_planet.csv),eccentricity_error_max(from standardize_EU_Catalogue_Data.csv),Eccentricity lowerlimit(from standardize_OEC_planet.csv),Eccentricity lowerlimit(from standardize_EU_Catalogue_Data.csv),Eccentricity upperlimit(from standardize_OEC_planet.csv),Eccentricity upperlimit(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K](from standardize_OEC_planet.csv),temp_calculated(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] errorminus(from standardize_OEC_planet.csv),Equilibrium temperature [K] errorminus(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] errorplus(from standardize_OEC_planet.csv),Equilibrium temperature [K] errorplus(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] lowerlimit(from standardize_OEC_planet.csv),Equilibrium temperature [K] lowerlimit(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] upperlimit(from standardize_OEC_planet.csv),Equilibrium temperature [K] upperlimit(from standardize_EU_Catalogue_Data.csv),Discovery method(from standardize_OEC_planet.csv),detection_type(from standardize_EU_Catalogue_Data.csv),Discovery year(from standardize_OEC_planet.csv),discovered(from standardize_EU_Catalogue_Data.csv),Last updated [yy/mm/dd](from standardize_OEC_planet.csv),updated(from standardize_EU_Catalogue_Data.csv),source (xml)(from standardize_OEC_planet.csv),source (xml)(from standardize_EU_Catalogue_Data.csv)
HD 210277 b,HD 210277 b,confirmedplanets,,,,,0.03,,0.03,,0.03,,0.03,,,,,,,,,,,,,,0.4,,0.4,,,,,,,,0.011,,0.011,,,,,240.3,,,,,,,,,,rv,radialvelocity,,,06/09/06,2006-09-06,HD 210277.xml,
HD 210702 b,HD 210702 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094,0.152,0.052,0.08,0.052,0.08,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/02,2012-09-01,HD 210702.xml,
HD 212301 b,HD 212301 b,confirmedplanets,,0.45,0.4,,,,,,,,,,1.07,,,,,,,,,,,,2.8e-05,,2.8e-05,,,,,0.0,0.0147,,0.0147,,0.0365,,,,,1541.3,,,,,,,,,,rv,radialvelocity,,,10/12/23,2015-07-27,HD 212301.xml,
HD 212771 b,HD 212771 b,confirmedplanets,,,,,0.4,,0.4,,0.4,,0.4,,,,,,,,,,,,,,3.4,,3.4,,,,,,,,0.06,,0.06,,,,,456.8,,,,,,,,,,rv,radialvelocity,,,10/03/19,2010-03-19,HD 212771.xml,
HD 213240 A b,HD 213240 b,confirmedplanets|planetsinbinarysystems|s-type,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,42.0,,,,,,,,0.04,,0.04,,,,,,,,,,,,,,,rv,radialvelocity,,,12/12/08,2012-09-25,HD 213240.xml,
HD 215152 b,HD 215152 b,confirmedplanets,,,,,0.0049,,0.0049,,0.0049,,0.0049,,,,,,,,,,,,,,0.0057,,0.0057,,,,,,,,0.27,,0.27,,,,,704.7,,,,,,,,,,rv,radialvelocity,,,11/09/12,2011-09-12,HD 215152.xml,
HD 215152 c,HD 215152 c,confirmedplanets,,,,,0.0032,,0.0032,,0.0032,,0.0032,,,,,,,,,,,,,,0.0137,,0.0137,,,,,,,,0.23,,0.23,,,,,615.3,,,,,,,,,,rv,radialvelocity,,,11/09/12,2011-09-12,HD 215152.xml,
HD 215456 b,HD 215456 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.7,,,,,,,,,,rv,radialvelocity,,,11/09/12,2011-09-12,HD 215456.xml,
HD 215456 c,HD 215456 c,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.5,,,,,,,,,,rv,radialvelocity,,,11/09/12,2011-09-12,HD 215456.xml,
HD 215497 b,HD 215497 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,0.00066,,0.00066,,,,,,,,0.009,,0.009,,,,,984.3,,,,,,,,,,rv,radialvelocity,,,10/12/06,2010-12-06,HD 215497.xml,
HD 215497 c,HD 215497 c,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,2.7,,,,,,,,0.04,,0.04,,,,,185.8,,,,,,,,,,rv,radialvelocity,,,10/12/06,2010-12-06,HD 215497.xml,
HD 216435 b,HD 216435 b,confirmedplanets,,,,,0.13,,0.13,,0.13,,0.13,,,,,,,,,,,,,,49.0,,49.0,,,,,,,,0.078,,0.078,,,,,224.7,,,,,,,,,,rv,radialvelocity,,,09/10/06,2016-01-15,HD 216435.xml,
HD 216437 b,HD 216437 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,35.0,,,,,,,,0.12,,0.12,,,,,170.2,,,,,,,,,,rv,radialvelocity,,,10/12/30,2010-12-30,HD 216437.xml,
HD 216536 b,HD 216536 b,confirmedplanets,,,,,,,,,0.12,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.10,0.12,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/01/29,2016-01-10,HD 216536.xml,
HD 216770 b,HD 216770 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,0.4,,,,,,,,0.06,,0.06,,,,,338.2,,,,,,,,,,rv,radialvelocity,,,10/12/30,2010-12-30,HD 216770.xml,
HD 21693 b,HD 21693 b,confirmedplanets,,,,,0.0046,,0.0046,,0.0046,,0.0046,,,,,,,,,,,,,,0.0236,,0.0236,,,,,,,,0.17,,0.17,,,,,581.9,,,,,,,,,,rv,radialvelocity,,,11/09/12,2011-09-12,HD 21693.xml,
HD 21693 c,HD 21693 c,confirmedplanets,,,,,0.0057,,0.0057,,0.0057,,0.0057,,,,,,,,,,,,,,0.0704,,0.0704,,,,,,,,0.09,,0.09,,,,,436.2,,,,,,,,,,rv,radialvelocity,,,11/09/12,2011-09-12,HD 21693.xml,
HD 217107 b,HD 217107 b,confirmedplanets,,1.4135,1.33,0.0042,0.05,0.0042,0.05,,0.05,,0.05,,,,,,,,,,,7.126846,7.12689,0.000013,5e-05,0.000013,5e-05,,,,,0.1283,0.132,0.0027,0.005,0.0027,0.005,,,,,,,,,,,,,,,rv,radialvelocity,,,15/08/15,2013-05-20,HD 217107.xml,
HD 217107 c,HD 217107 c,confirmedplanets,,4.513,2.49,0.072,0.25,0.072,0.25,,0.25,,0.25,,,,,,,,,,,5189,4210.0,21,190.0,21,190.0,,,,,0.3848,0.517,0.0086,0.033,0.0086,0.033,,,,,,,,,,,,,,,rv,radialvelocity,2005,1998,15/08/15,2013-05-20,HD 217107.xml,
HD 217786 b,HD 217786 b,confirmedplanets|planetsinbinarysystems|s-type,,,,,,,,,0.8,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,16/01/22,2010-12-20,HD 217786.xml,
HD 218566 b,HD 218566 b,confirmedplanets,,,,,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/03,2010-11-19,HD 218566.xml,
HD 219077 b,HD 219077 b,confirmedplanets,,,,,0.09,,0.09,,0.09,,0.09,,,,,,,,,,,,,,130.0,,130.0,,,,,,,,0.003,,0.003,,,,,124.9,,,,,,,,,,rv,radialvelocity,,,12/11/29,2013-01-17,HD 219077.xml,
HD 219134 b,HD 219134 b,confirmedplanets,,,,,,,,,0.001,,0.001,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.13,,,,,,,,,,,,,,,rv,primarytransit,,,15/10/20,2015-11-25,HD 219134.xml,
HD 219134 c,HD 219134 c,confirmedplanets,,,,,,,,,0.002,,0.002,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.26,,,,,,,,,,,,,,,rv,radialvelocity,,,15/10/20,2015-11-17,HD 219134.xml,
HD 219134 d,HD 219134 d,confirmedplanets,,0.028,0.067,0.003,0.004,0.003,0.004,,0.004,,0.004,,,,,,,,,,,22.805,46.71,0.005,0.01,0.005,0.01,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/10/20,2015-11-17,HD 219134.xml,
HD 219134 e,HD 219134 e,confirmedplanets,,0.067,0.0117,0.004,0.006,0.004,0.19,,0.006,,0.19,,,,,,,,,,,46.71,1190.0,0.01,34.0,0.01,379.0,,,,,0,0.34,,0.17,,0.17,,,,,,,,,,,,,,,rv,radialvelocity,,,15/10/20,2016-05-05,HD 219134.xml,
HD 219134 g,HD 219134 g,confirmedplanets,,0.34,0.034,0.02,0.004,0.02,0.004,,0.004,,0.004,,,,,,,,,,,2247,94.2,43,0.2,43,0.2,,,,,0.06,0.0,0.04,,0.04,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/10/20,2015-11-17,HD 219134.xml,
HD 219415 b,HD 219415 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,,0.09,,0.09,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/23,2013-01-17,HD 219415.xml,
HD 219828 b,HD 219828 b,confirmedplanets,,0.066,0.0661,,0.0044,,0.0044,,0.0044,,0.0044,,,,,,,,,,,3.8335,3.834887,,9.6e-05,,9.6e-05,,,,,0.0,0.059,,0.036,,0.036,,,,,1485.2,,,,,,,,,,rv,radialvelocity,,,10/12/21,2016-05-24,HD 219828.xml,
HD 220074 b,HD 220074 b,confirmedplanets,,,,,1.8,,1.8,,1.8,,1.8,,,,,,,,,,,,,,3.7,,3.7,,,,,,,,0.05,,0.05,,,,,965.5,,,,,,,,,,rv,radialvelocity,,,12/11/12,2012-11-13,HD 220074.xml,
HD 220689 b,HD 220689 b,confirmedplanets,,,,,0.09,,0.09,,0.09,,0.09,,,,,,,,,,,,,,103.0,,81.0,,,,,,,,0.07,,0.1,,,,,149.6,,,,,,,,,,rv,radialvelocity,,,12/11/29,2014-05-21,HD 220689.xml,
HD 220773 b,HD 220773 b,confirmedplanets,,,,,0.3,,0.3,,0.3,,0.3,,,,,,,,,,,,,,463.0,,463.0,,,,,,,,0.1,,0.1,,,,,145.8,,,,,,,,,,rv,radialvelocity,,,12/02/04,2012-02-04,HD 220773.xml,
HD 221287 b,HD 221287 b,confirmedplanets,,,,,0.79,,0.79,,0.79,,0.79,,,,,,,,,,,,,,7.7,,7.7,,,,,,,,0.17,,0.17,,,,,259.0,,,,,,,,,,rv,radialvelocity,,,10/12/28,2014-08-30,HD 221287.xml,
HD 222155 b,HD 222155 b,confirmedplanets,,,,,0.53,,0.67,,0.53,,0.67,,,,,,,,,,,,,,541.0,,541.0,,,,,,,,0.22,,0.22,,,,,145.2,,,,,,,,,,rv,radialvelocity,,,12/05/25,2012-05-25,HD 222155.xml,
HD 222582 A b,HD 222582 b,confirmedplanets|planetsinbinarysystems|s-type,,,,,0.65,,0.65,,0.65,,0.65,,,,,,,,,,,,,,0.61,,0.61,,,,,,,,0.012,,0.012,,,,,,,,,,,,,,,rv,radialvelocity,,,12/12/08,2016-01-15,HD 222582.xml,
HD 224693 b,HD 224693 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,,,,,,,0.03,,0.03,,,,,718.9,,,,,,,,,,rv,radialvelocity,,,06/04/18,2006-04-18,HD 224693.xml,
HD 22781 b,HD 22781 b,confirmedplanets,,,,,0.97,,0.97,,0.97,,0.97,,,,,,,,,,,,,,0.14,,0.14,,,,,,,,0.0023,,0.0023,,,,,167.0,,,,,,,,,,rv,radialvelocity,,,11/11/04,2011-11-04,HD 22781.xml,
HD 23079 b,HD 23079 b,confirmedplanets,,2.5,2.45,,0.21,,0.21,,0.21,,0.21,,,,,,,,,,,626,730.6,,5.7,,5.7,,,,,0.02,0.102,,0.031,,0.031,,,,,223.8,,,,,,,,,,rv,radialvelocity,,,10/12/30,2016-01-21,HD 23079.xml,
HD 23127 b,HD 23127 b,confirmedplanets,,,,,0.2,,0.2,,0.2,,0.2,,,,,,,,,,,,,,9.0,,9.0,,,,,,,,0.07,,0.07,,,,,205.3,,,,,,,,,,rv,radialvelocity,,,07/02/09,2016-01-14,HD 23127.xml,
HD 231701 b,HD 231701 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,141.6,141.89,,0.15,,0.15,,,,,0.1,0.096,,0.069,,0.069,,,,,436.6,,,,,,,,,,rv,radialvelocity,,,09/10/06,2016-02-02,HD 231701.xml,
HD 233604 b,HD 233604 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/23,2013-04-30,HD 233604.xml,
HD 23596 b,HD 23596 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,21.0,,,,,,,,0.023,,0.023,,,,,220.0,,,,,,,,,,rv,radialvelocity,,,10/12/30,2010-12-30,HD 23596.xml,
HD 240210 b,HD 240210 b,confirmedplanets,,5.21,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/26,2014-08-27,HD 240210.xml,
HD 240237 b,HD 240237 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/17,2011-10-11,HD 240237.xml,
HD 24040 b,HD 24040 b,confirmedplanets,,4.10,4.01,0.12,0.49,0.12,0.49,,0.49,,0.49,,,,,,,,,,,3490,3668.0,25,170.0,25,170.0,,,,,0.047,0.04,0.020,0.06,0.020,0.06,,,,,,,,,,,,,,,rv,radialvelocity,,,15/08/15,2012-05-25,HD 24040.xml,
HD 24064 b,HD 24064 b,confirmedplanets,,,,,,,,,1.3,,1.3,,,,,,,,,,,536.6,555.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/09/30,2015-10-01,HD 24064.xml,
HD 25171 b,HD 25171 b,confirmedplanets,,,,,0.1,,0.1,,0.1,,0.1,,,,,,,,,,,,,,15.0,,15.0,,,,,,,,0.06,,0.06,,,,,169.7,,,,,,,,,,rv,radialvelocity,,,10/12/20,2010-12-20,HD 25171.xml,
HD 2638 b,HD 2638 b,confirmedplanets|planetsinbinarysystems|s-type,,,,,,,,,,,,,1.04,,,,,,,,,3.4442,3.43752,,0.008239,,0.008239,,,,,0.0,0.0407,,0.0351,,0.0407,,,,,978.2,,,,,,,,,,rv,radialvelocity,,,10/12/24,2016-09-03,HD 2638.xml,
HD 27442 A b,HD 27442 b,confirmedplanets|planetsinbinarysystems|s-type,,,,,0.11,,0.11,,0.11,,0.11,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,0.05,,0.05,,,,,,,,,,,,,,,rv,radialvelocity,,,12/12/07,2011-04-08,HD 27442.xml,
HD 27631 b,HD 27631 b,confirmedplanets,,,,,0.14,,0.14,,0.14,,0.14,,,,,,,,,,,,,,66.0,,66.0,,,,,,,,0.06,,0.06,,,,,137.7,,,,,,,,,,rv,radialvelocity,,,12/11/29,2012-11-29,HD 27631.xml,
HD 27894 b,HD 27894 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,0.007,,,,,,,,0.008,,0.008,,,,,548.8,,,,,,,,,,rv,radialvelocity,,,10/12/25,2010-12-25,HD 27894.xml,
HD 28185 b,HD 28185 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,0.04,,0.04,,,,,241.6,,,,,,,,,,rv,radialvelocity,,,10/12/20,2010-12-20,HD 28185.xml,
HD 28254 b,HD 28254 b,confirmedplanets,,,,,0.06,,0.1,,0.06,,0.1,,,,,,,,,,,,,,26.0,,26.0,,,,,,,,0.02,,0.02,,,,,196.8,,,,,,,,,,rv,radialvelocity,,,10/09/08,2010-09-08,HD 28254.xml,
HD 285507 b,HD 285507 b,confirmedplanets|planetsinopenclusters,,,,,,,,,0.033,,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,13/10/29,2015-06-14,HD 285507.xml,
HD 28678 b,HD 28678 b,confirmedplanets,,,,,0.1,,0.1,,0.1,,0.1,,,,,,,,,,,,,,4.2,,4.2,,,,,,,,0.068,,0.068,,,,,499.6,,,,,,,,,,rv,radialvelocity,,,12/07/24,2011-09-02,HD 28678.xml,
HD 290327 b,HD 290327 b,confirmedplanets,,,,,0.14,,0.17,,0.14,,0.17,,,,,,,,,,,,,,117.0,,117.0,,,,,,,,0.03,,0.03,,,,,132.1,,,,,,,,,,rv,radialvelocity,,,10/09/08,2010-09-08,HD 290327.xml,
HD 2952 b,HD 2952 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,1.7,,,,,,,,0.085,,0.099,,,,,,,,,,,,,,,rv,radialvelocity,,,13/04/17,2014-05-25,HD 2952.xml,
HD 30177 b,HD 30177 b,confirmedplanets,,7.7,10.45,,0.88,,0.88,,0.88,,0.88,,,,,,,,,,,1620,2770.0,,100.0,,100.0,,,,,0.22,0.193,,0.025,,0.025,,,,,153.5,,,,,,,,,,rv,radialvelocity,,,10/12/31,2016-01-19,HD 30177.xml,
HD 30562 b,HD 30562 b,confirmedplanets,,1.373,1.29,,0.08,,0.08,,0.08,,0.08,,,,,,,,,,,1159,1157.0,,27.0,,27.0,,,,,0.778,0.76,,0.05,,0.05,,,,,208.7,,,,,,,,,,rv,radialvelocity,,,12/11/29,2009-09-25,HD 30562.xml,
HD 30669 b,HD 30669 b,confirmedplanets,,,,,,,,,0.06,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/21,2015-06-14,HD 30669.xml,
HD 30856 b,HD 30856 b,confirmedplanets,,,,,0.2,,0.2,,0.2,,0.2,,,,,,,,,,,,,,41.0,,41.0,,,,,0,0.24,,inf,,nan,,,,,317.2,,,,,,,,,,rv,radialvelocity,,,12/07/24,2011-09-02,HD 30856.xml,
HD 31253 b,HD 31253 b,confirmedplanets,,,,,,,,,0.07,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/03,2010-11-19,HD 31253.xml,
HD 31527 b,HD 31527 b,confirmedplanets,,,,,0.0025,,0.0025,,0.0025,,0.0025,,,,,,,,,,,,,,0.0074,,0.0074,,,,,,,,0.05,,0.05,,,,,770.9,,,,,,,,,,rv,radialvelocity,,,11/09/12,2011-09-12,HD 31527.xml,
HD 31527 c,HD 31527 c,confirmedplanets,,,,,0.00345,,0.00345,,0.00345,,0.00345,,,,,,,,,,,,,,0.0848,,0.0848,,,,,,,,0.07,,0.07,,,,,528.8,,,,,,,,,,rv,radialvelocity,,,11/09/12,2011-09-12,HD 31527.xml,
HD 31527 d,HD 31527 d,confirmedplanets,,,,,0.0257,,0.0257,,0.0257,,0.0257,,,,,,,,,,,,,,7.8133,,7.8133,,,,,,,,0.25,,0.25,,,,,299.2,,,,,,,,,,rv,radialvelocity,,,11/09/12,2011-09-12,HD 31527.xml,
HD 32518 b,HD 32518 b,confirmedplanets,,,,0.68,0.69,0.68,0.69,,0.69,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/09/20,2009-08-13,HD 32518.xml,
HD 32963 b,HD 32963 b,confirmedplanets,,,,,,,,,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/12/18,2015-12-02,HD 32963.xml,
HD 330075 b,HD 330075 b,confirmedplanets,,,,,,,,,,,,,1.06,,,,,,,,,3.38773,3.6413,,0.00187,,0.00187,,,,,0.0,0.0187,,0.0684,,0.0187,,,,,1023.2,,,,,,,,,,rv,radialvelocity,,,10/12/29,2015-02-25,HD 330075.xml,
HD 33142 b,HD 33142 b,confirmedplanets,,,,,0.1,,0.1,,0.1,,0.1,,,,,,,,,,,,,,3.9,,3.9,,,,,0,0.22,,inf,,nan,,,,,442.1,,,,,,,,,,rv,radialvelocity,,,12/07/24,2011-09-02,HD 33142.xml,
HD 33283 b,HD 33283 b,confirmedplanets,,,,,,,,,,,,,0.99,,,,,,,,,18.179,18.1801,,0.008,,0.008,,,,,0.48,0.458,,0.0656,,0.0569,,,,,695.7,,,,,,,,,,rv,radialvelocity,,,06/04/18,2015-02-16,HD 33283.xml,
HD 33564 b,HD 33564 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,,,,,,0.02,,0.02,,,,,273.5,,,,,,,,,,rv,radialvelocity,,,10/12/23,2010-12-23,HD 33564.xml,
HD 33844 b,HD 33844 b,confirmedplanets,,1.92,1.96,0.11,0.12,0.11,0.12,,0.12,,0.12,,,,,,,,,,,547.9,551.4,6.4,7.8,6.4,7.8,,,,,0.16,0.15,,,,,,,,,,,,,,,,,,,rv,radialvelocity,2015,2013,15/12/28,2015-12-24,HD 33844.xml,
HD 33844 c,HD 33844 c,confirmedplanets,,1.68,1.75,0.16,0.18,0.16,0.18,,0.18,,0.18,,,,,,,,,,,924.3,916.0,32.5,29.5,32.5,29.5,,,,,0.09,0.13,0.08,0.1,0.08,0.1,,,,,,,,,,,,,,,rv,radialvelocity,,,15/12/28,2015-12-24,HD 33844.xml,
HD 34445 b,HD 34445 b,confirmedplanets,,,,,,,,,0.07,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,2010,2004,16/03/09,2014-08-30,HD 34445.xml,
HD 3651 b,HD 3651 b,confirmedplanets,,0.2,0.231,,0.00972,,0.291,,0.00972,,0.291,,,,,,,,,,,62.23,62.218,,0.015,,0.015,,,,,0.63,0.596,,0.036,,0.036,,,,,405.0,,,,,,,,,,rv,radialvelocity,,,10/10/19,2016-02-01,HD 3651.xml,
HD 37124 b,HD 37124 b,confirmedplanets,,,,,0.017,,0.017,,0.017,,0.017,,,,,,,,,,,,,,0.028,,0.028,,,,,,,,0.03,,0.03,,,,,306.6,,,,,,,,,,rv,radialvelocity,,,11/01/07,2013-05-20,HD 37124.xml,
HD 37124 c,HD 37124 c,confirmedplanets,,,,,0.052,,0.052,,0.052,,0.052,,,,,,,,,,,,,,5.1,,5.1,,,,,,,,0.055,,0.055,,,,,171.1,,,,,,,,,,rv,radialvelocity,,,11/01/07,2013-05-20,HD 37124.xml,
HD 37124 d,HD 37124 d,confirmedplanets,,,,,0.059,,0.059,,0.059,,0.059,,,,,,,,,,,,,,38.0,,38.0,,,,,,,,0.14,,0.14,,,,,133.5,,,,,,,,,,rv,radialvelocity,,,11/01/07,2013-05-20,HD 37124.xml,
HD 37605 b,HD 37605 b,confirmedplanets,,,,,0.032,,0.032,,0.032,,0.032,,,,,,,,,,,,,,0.00063,,0.00063,,,,,,,,0.0019,,0.0019,,,,,413.9,,,,,,,,,,rv,radialvelocity,,,12/01/19,2012-10-29,HD 37605.xml,
HD 37605 c,HD 37605 c,confirmedplanets,,3.379,3.366,,0.072,,0.072,,0.072,,0.072,,,,,,,,,,,,,,57.0,,57.0,,,,,,,,0.015,,0.015,,,,,116.7,,,,,,,,,,rv,radialvelocity,,,12/01/19,2012-10-29,HD 37605.xml,
HD 38283 b,HD 38283 b,confirmedplanets,,,,,0.02,,0.02,,0.02,,0.02,,,,,,,,,,,,,,1.6,,1.6,,,,,,,,0.16,,0.16,,,,,309.9,,,,,,,,,,rv,radialvelocity,,,11/04/13,2011-04-13,HD 38283.xml,
HD 38529 A b,HD 38529 b,confirmedplanets|planetsinbinarysystems|s-type,,0.78,0.93,,0.11,,0.21,,0.11,,0.21,,,,,,,,,,,,,,0.0002,,0.0002,,,,,,,,0.007,,0.007,,,,,,,,,,,,,,,rv,radialvelocity,,,12/12/08,2011-05-11,HD 38529.xml,
HD 38529 A c,HD 38529 c,confirmedplanets|planetsinbinarysystems|s-type,,17.7,23.7,,3.11,,4.07,,3.11,,4.07,,,,,,,,,,,,,,0.4,,0.4,,,,,,,,0.003,,0.003,,,,,,,,,,,,,,,rv,radialvelocity,,,12/12/08,2014-05-26,HD 38529.xml,
HD 38801 b,HD 38801 b,confirmedplanets,,,,,0.5,,0.5,,0.5,,0.5,,,,,,,,,,,,,,2.7,,2.7,,,,,,,,,,,,,,,280.9,,,,,,,,,,rv,radialvelocity,,,10/12/15,2010-12-15,HD 38801.xml,
HD 38858 b,HD 38858 b,retractedplanetcandidate,,,,,0.012,,0.012,,0.012,,0.012,,,,,,,,,,,,,,4.2857,,4.2857,,,,,,,,0.17,,0.17,,,,,237.2,,,,,,,,,,rv,radialvelocity,,,15/03/13,2011-09-12,HD 38858.xml,
HD 39091 b,HD 39091 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,150.0,,,,,,,,0.03,,0.03,,,,,202.4,,,,,,,,,,rv,radialvelocity,,,11/01/01,2011-01-01,HD 39091.xml,
HD 39194 b,HD 39194 b,confirmedplanets,,,,,0.001,,0.001,,0.001,,0.001,,,,,,,,,,,,,,0.0008,,0.0008,,,,,,,,0.1,,0.1,,,,,881.3,,,,,,,,,,rv,radialvelocity,,,11/09/12,2011-09-12,HD 39194.xml,
HD 39194 c,HD 39194 c,confirmedplanets,,,,,0.00148,,0.00148,,0.00148,,0.00148,,,,,,,,,,,,,,0.0051,,0.0051,,,,,,,,0.006,,0.006,,,,,651.2,,,,,,,,,,rv,radialvelocity,,,11/09/12,2011-09-12,HD 39194.xml,
