Primary system name(from OEC_system.csv),star_name(from standardize_EU_Catalogue_System_Data.csv),Right ascension(from OEC_system.csv),Right ascension(from standardize_EU_Catalogue_System_Data.csv),Declination(from OEC_system.csv),Declination(from standardize_EU_Catalogue_System_Data.csv),Distance [parsec](from OEC_system.csv),star_distance(from standardize_EU_Catalogue_System_Data.csv),Distance errorminus(from OEC_system.csv),star_distance_error_min(from standardize_EU_Catalogue_System_Data.csv),Distance errorplus(from OEC_system.csv),star_distance_error_max(from standardize_EU_Catalogue_System_Data.csv),source (xml)(from OEC_system.csv),source (xml)(from standardize_EU_Catalogue_System_Data.csv)
Kepler-19,Kepler-19,19 21 41,,+37 51 06,,,,,,,,Kepler-19.xml,
Kepler-190,Kepler-190,19 14 20,,+44 44 01,,470.30,,,,,,Kepler-190.xml,
Kepler-191,Kepler-191,19 24 44,,+45 19 23,,680.33,,,,,,Kepler-191.xml,
Kepler-192,Kepler-192,19 11 40,,+45 35 34,,683.40,,,,,,Kepler-192.xml,
Kepler-193,Kepler-193,19 45 59,,+46 34 38,,1301.67,,,,,,Kepler-193.xml,
Kepler-194,Kepler-194,19 27 53,,+47 51 51,,1233.85,,,,,,Kepler-194.xml,
Kepler-195,Kepler-195,19 12 29,,+47 58 00,,681.77,,,,,,Kepler-195.xml,
Kepler-196,Kepler-196,18 59 52,,+42 04 45,,470.92,,,,,,Kepler-196.xml,
Kepler-197,Kepler-197,19 40 54.335,,+50 33 32.35,,313.87,,,,,,Kepler-197.xml,
Kepler-198,Kepler-198,19 22 41,,+38 41 27,,516.78,,,,,,Kepler-198.xml,
Kepler-199,Kepler-199,19 42 14,,+40 14 10,,544.56,,,,,,Kepler-199.xml,
Kepler-20,Kepler-20,19 10 47,,+42 20 19,,,,,30.0,,30.0,Kepler-20.xml,
Kepler-200,Kepler-200,18 57 38,,+41 14 14,,643.59,,,,,,Kepler-200.xml,
Kepler-201,Kepler-201,19 34 30,,+41 16 22,,608.78,,,,,,Kepler-201.xml,
Kepler-202,Kepler-202,18 51 53,,+41 19 19,,291.90,,,,,,Kepler-202.xml,
Kepler-203,Kepler-203,19 48 21,,+41 23 16,,800.07,,,,,,Kepler-203.xml,
Kepler-204,Kepler-204,19 01 23,,+41 45 42,,854.31,,,,,,Kepler-204.xml,
Kepler-205,Kepler-205,19 01 08,,+41 51 40,,172.98,,,,,,Kepler-205.xml,
Kepler-206,Kepler-206,19 26 32,,+41 50 01,,661.32,,,,,,Kepler-206.xml,
Kepler-207,Kepler-207,19 20 07,,+42 09 57,,813.46,,,,,,Kepler-207.xml,
Kepler-208,Kepler-208,19 35 33,,+42 31 40,,925.47,,,,,,Kepler-208.xml,
Kepler-209,Kepler-209,19 24 40,,+42 38 26,,604.83,,,,,,Kepler-209.xml,
Kepler-21,Kepler-21,19 09 26.83535,,+38 42 50.4593,,112.9,108.0,7.4,19.0,7.4,19.0,Kepler-21.xml,
Kepler-210,Kepler-210,19 30 00,,+43 04 59,,265.15,,,,,,Kepler-210.xml,
Kepler-211,Kepler-211,19 01 45,,+43 10 06,,327.93,,,,,,Kepler-211.xml,
Kepler-212,Kepler-212,19 10 28,,+43 08 29,,726.97,,,,,,Kepler-212.xml,
Kepler-213,Kepler-213,19 23 17,,+44 38 49,,702.35,,,,,,Kepler-213.xml,
Kepler-214,Kepler-214,18 59 01,,+44 57 21,,1070.66,,,,,,Kepler-214.xml,
Kepler-215,Kepler-215,19 39 53,,+45 12 49,,593.87,,,,,,Kepler-215.xml,
Kepler-216,Kepler-216,19 34 54,,+46 07 44,,994.93,,,,,,Kepler-216.xml,
Kepler-217,Kepler-217,19 32 09,,+46 16 39,,1054.36,,,,,,Kepler-217.xml,
Kepler-218,Kepler-218,19 41 39,,+46 15 59,,675.18,,,,,,Kepler-218.xml,
Kepler-219,Kepler-219,19 14 57,,+46 45 45,,953.85,,,,,,Kepler-219.xml,
Kepler-22,Kepler-22,19 16 52,,+47 53 04,,180,190.0,,,,,Kepler-22.xml,
Kepler-220,Kepler-220,19 26 01,,+46 53 44,,208.38,,,,,,Kepler-220.xml,
Kepler-221,Kepler-221,19 46 37,,+46 50 06,,428.30,,,,,,Kepler-221.xml,
Kepler-222,Kepler-222,19 11 37,,+46 56 15,,891.55,,,,,,Kepler-222.xml,
Kepler-223,Kepler-223,19 53 16,,+47 16 46,,1366.95,,,,,,Kepler-223.xml,
Kepler-224,Kepler-224,19 23 44,,+47 21 27,,773.13,,,,,,Kepler-224.xml,
Kepler-225,Kepler-225,19 28 46,,+47 27 25,,342.18,,,,,,Kepler-225.xml,
Kepler-226,Kepler-226,19 29 30,,+47 52 51,,1017.85,,,,,,Kepler-226.xml,
Kepler-227,Kepler-227,19 27 44,,+48 08 29,,1481.07,,,,,,Kepler-227.xml,
Kepler-228,Kepler-228,19 45 08,,+48 13 28,,1736.95,,,,,,Kepler-228.xml,
Kepler-229,Kepler-229,19 07 59,,+48 22 32,,949.11,,,,,,Kepler-229.xml,
Kepler-23,Kepler-23,19 36 52,,+49 28 45,,864.68,,,0.12,,0.12,Kepler-23.xml,
Kepler-230,Kepler-230,19 02 52,,+48 30 21,,894.50,,,,,,Kepler-230.xml,
Kepler-231,Kepler-231,19 35 53,,+50 31 54,,280.31,,,,,,Kepler-231.xml,
Kepler-232,Kepler-232,19 43 15,,+51 07 18,,1323.08,,,,,,Kepler-232.xml,
Kepler-233,Kepler-233,19 45 27,,+51 19 10,,859.50,,,,,,Kepler-233.xml,
Kepler-234,Kepler-234,19 26 36,,+38 29 40,,1867.58,,,,,,Kepler-234.xml,
Kepler-235,Kepler-235,19 04 18,,+39 16 41,,525.48,,,,,,Kepler-235.xml,
Kepler-236,Kepler-236,18 55 27,,+39 53 53,,293.01,,,,,,Kepler-236.xml,
Kepler-237,Kepler-237,18 52 53,,+40 25 18,,660.75,,,,,,Kepler-237.xml,
Kepler-238,Kepler-238,19 11 35,,+40 38 16,,1659.85,,,,,,Kepler-238.xml,
Kepler-239,Kepler-239,19 36 48,,+40 39 48,,684.60,,,,,,Kepler-239.xml,
Kepler-24,Kepler-24,19 21 39,,+38 20 37,,1462.04,,,,,,Kepler-24.xml,
Kepler-240,Kepler-240,19 24 38,,+40 45 00,,840.27,,,,,,Kepler-240.xml,
Kepler-241,Kepler-241,19 31 39,,+41 03 39,,595.71,,,,,,Kepler-241.xml,
Kepler-242,Kepler-242,19 06 15,,+41 48 30,,859.95,,,,,,Kepler-242.xml,
Kepler-243,Kepler-243,19 00 26,,+42 02 02,,808.40,,,,,,Kepler-243.xml,
Kepler-244,Kepler-244,19 08 58,,+42 18 04,,1104.52,,,,,,Kepler-244.xml,
Kepler-245,Kepler-245,19 26 33,,+42 26 10,,919.92,,,,,,Kepler-245.xml,
Kepler-246,Kepler-246,19 45 56,,+42 39 48,,768.87,,,,,,Kepler-246.xml,
Kepler-247,Kepler-247,19 14 34,,+43 02 21,,695.58,,,,,,Kepler-247.xml,
Kepler-248,Kepler-248,19 32 14,,+43 34 52,,851.10,,,,,,Kepler-248.xml,
Kepler-249,Kepler-249,19 47 56,,+43 39 30,,230.75,,,,,,Kepler-249.xml,
Kepler-25,Kepler-25,19 06 33,,+38 20 37,,191,,,,,,Kepler-25.xml,
Kepler-250,Kepler-250,19 18 22,,+44 08 31,,894.42,,,,,,Kepler-250.xml,
Kepler-251,Kepler-251,19 46 15,,+44 06 21,,1016.85,,,,,,Kepler-251.xml,
Kepler-252,Kepler-252,19 42 19,,+44 32 45,,337.11,,,,,,Kepler-252.xml,
Kepler-253,Kepler-253,19 27 22,,+44 51 29,,919.62,,,,,,Kepler-253.xml,
Kepler-254,Kepler-254,19 12 39,,+45 48 59,,1607.46,,,,,,Kepler-254.xml,
Kepler-255,Kepler-255,19 44 15,,+45 58 36,,1287.37,,,,,,Kepler-255.xml,
Kepler-256,Kepler-256,19 30 19,,+46 05 50,,1394.65,,,,,,Kepler-256.xml,
Kepler-257,Kepler-257,19 49 15,,+46 01 23,,1167.03,,,,,,Kepler-257.xml,
Kepler-258,Kepler-258,19 36 16,,+46 34 45,,836.13,,,,,,Kepler-258.xml,
Kepler-259,Kepler-259,19 12 50,,+46 36 54,,1182.50,,,,,,Kepler-259.xml,
Kepler-26,Kepler-26,18 59 45,,+46 33 59,,482.39,,,,,,Kepler-26.xml,
Kepler-260,Kepler-260,19 27 42,,+38 00 50,,539.35,,,,,,Kepler-260.xml,
Kepler-261,Kepler-261,19 25 27,,+37 36 33,,359.31,,,,,,Kepler-261.xml,
Kepler-262,Kepler-262,19 22 54,,+37 15 09,,717.13,,,,,,Kepler-262.xml,
Kepler-263,Kepler-263,19 29 52,,+37 34 04,,879.65,,,,,,Kepler-263.xml,
Kepler-264,Kepler-264,19 28 10,,+37 22 34,,804.00,,,,,,Kepler-264.xml,
Kepler-265,Kepler-265,19 22 02,,+41 14 41,,1511.13,,,,,,Kepler-265.xml,
Kepler-266,Kepler-266,19 37 56,,+44 10 00,,1577.36,,,,,,Kepler-266.xml,
Kepler-267,Kepler-267,19 59 19,,+47 09 26,,415.67,,,,,,Kepler-267.xml,
Kepler-268,Kepler-268,19 27 54,,+38 03 18,,875.31,,,,,,Kepler-268.xml,
Kepler-269,Kepler-269,19 20 51,,+41 46 33,,1605.94,,,,,,Kepler-269.xml,
Kepler-27,Kepler-27,19 28 56,,+41 05 09,,991.22,,,,,,Kepler-27.xml,
Kepler-270,Kepler-270,18 48 48,,+44 25 20,,1098.10,,,,,,Kepler-270.xml,
Kepler-271,Kepler-271,18 52 00,,+44 17 03,,434.75,,,,,,Kepler-271.xml,
Kepler-272,Kepler-272,19 56 30,,+47 35 37,,758.79,,,,,,Kepler-272.xml,
Kepler-273,Kepler-273,19 25 12,,+47 41 51,,858.23,,,,,,Kepler-273.xml,
Kepler-274,Kepler-274,19 31 41,,+38 28 38,,1253.43,,,,,,Kepler-274.xml,
Kepler-275,Kepler-275,19 29 55,,+38 30 53,,2055.57,,,,,,Kepler-275.xml,
Kepler-276,Kepler-276,19 34 16,,+39 02 10,,1559.37,,,,,,Kepler-276.xml,
Kepler-277,Kepler-277,19 06 19,,+39 04 37,,951.43,,,,,,Kepler-277.xml,
Kepler-278,Kepler-278,19 20 25,,+38 42 08,,511.95,,,,,,Kepler-278.xml,
Kepler-279,Kepler-279,19 09 33,,+42 11 41,,1287.10,,,,,,Kepler-279.xml,
Kepler-28,Kepler-28,19 28 32,,+42 25 45,,772.8,,,,,,Kepler-28.xml,
Kepler-280,Kepler-280,19 25 33,,+42 10 50,,771.80,,,,,,Kepler-280.xml,
Kepler-281,Kepler-281,19 36 25,,+44 46 14,,1419.23,,,,,,Kepler-281.xml,
Kepler-282,Kepler-282,18 58 42,,+44 47 51,,1052.20,,,,,,Kepler-282.xml,
Kepler-283,Kepler-283,19 34 27,,+47 50 20,,534.37,,,,,,Kepler-283.xml,
Kepler-284,Kepler-284,19 32 35,,+47 43 46,,1266.39,,,,,,Kepler-284.xml,
Kepler-285,Kepler-285,19 25 33,,+48 03 56,,864.99,,,,,,Kepler-285.xml,
Kepler-286,Kepler-286,19 22 42,,+48 17 39,,1188.84,,,,,,Kepler-286.xml,
Kepler-287,Kepler-287,19 23 42,,+48 26 36,,1058.96,,,,,,Kepler-287.xml,
Kepler-288,Kepler-288,19 15 39,,+39 35 40,,1382.99,,,,,,Kepler-288.xml,
Kepler-289,Kepler-289,19 49 51,,+42 52 58,,,,,,,,Kepler-289.xml,
Kepler-29,Kepler-29,19 53 23,,+47 29 28,,1246,,,,,,Kepler-29.xml,
Kepler-290,Kepler-290,19 05 38,,+42 40 53,,874.46,,,,,,Kepler-290.xml,
Kepler-291,Kepler-291,19 11 39,,+42 26 14,,1899.90,,,,,,Kepler-291.xml,
Kepler-292,Kepler-292,19 43 03,,+42 25 27,,1216.22,,,,,,Kepler-292.xml,
Kepler-293,Kepler-293,19 05 25,,+42 24 23,,1289.47,,,,,,Kepler-293.xml,
Kepler-294,Kepler-294,19 09 34,,+46 03 33,,1698.68,,,,,,Kepler-294.xml,
Kepler-295,Kepler-295,19 01 23,,+45 22 04,,737.84,,,,,,Kepler-295.xml,
Kepler-296,Kepler-296,19 06 09.602,,+49 26 14.37,,558.5,,,,,,Kepler-296.xml,
Kepler-297,Kepler-297,18 52 50,,+48 46 39,,684.83,,,,,,Kepler-297.xml,
Kepler-298,Kepler-298,18 52 09,,+48 49 31,,474.25,,,,,,Kepler-298.xml,
Kepler-299,Kepler-299,18 52 49,,+48 34 49,,1107.98,,,,,,Kepler-299.xml,
Kepler-300,Kepler-30,19 41 09,,+48 35 58,,753.63,,,,,,Kepler-300.xml,
Kepler-300,Kepler-300,19 41 09,,+48 35 58,,753.63,,,,,,Kepler-300.xml,
Kepler-301,Kepler-301,18 55 55,,+49 13 58,,734.49,,,,,,Kepler-301.xml,
Kepler-302,Kepler-302,19 37 16,,+43 37 45,,1712.49,,,,,,Kepler-302.xml,
Kepler-303,Kepler-303,18 52 32,,+43 39 25,,192.34,,,,,,Kepler-303.xml,
Kepler-304,Kepler-304,19 37 46,,+40 33 27,,482.29,,,,,,Kepler-304.xml,
Kepler-305,Kepler-305,19 56 53,,+40 20 35,,1013.46,,,,,,Kepler-305.xml,
Kepler-306,Kepler-306,19 14 09,,+40 36 58,,772.83,,,,,,Kepler-306.xml,
Kepler-307,Kepler-307,19 51 10,,+40 25 03,,705.48,,,,,,Kepler-307.xml,
Kepler-308,Kepler-308,19 43 08,,+40 26 22,,1602.52,,,,,,Kepler-308.xml,
Kepler-309,Kepler-309,19 50 02,,+46 57 40,,581.27,,,,,,Kepler-309.xml,
Kepler-31,Kepler-31,19 36 05,,+45 51 11,,1790.60,,,,,,Kepler-31.xml,
Kepler-310,Kepler-310,19 15 21,,+46 59 12,,713.11,,,,,,Kepler-310.xml,
Kepler-311,Kepler-311,18 48 14,,+47 05 07,,803.71,,,,,,Kepler-311.xml,
Kepler-312,Kepler-312,19 53 34,,+42 27 35,,720.22,,,,,,Kepler-312.xml,
Kepler-313,Kepler-313,19 53 10,,+48 46 31,,1159.02,,,,,,Kepler-313.xml,
Kepler-314,Kepler-314,19 38 41,,+42 04 32,,301.17,,,,,,Kepler-314.xml,
Kepler-315,Kepler-315,19 52 05,,+43 21 48,,1363.58,,,,,,Kepler-315.xml,
Kepler-316,Kepler-316,19 23 18,,+44 11 02,,344.01,,,,,,Kepler-316.xml,
Kepler-317,Kepler-317,19 39 46,,+39 01 55,,1142.05,,,,,,Kepler-317.xml,
Kepler-318,Kepler-318,19 53 55,,+46 47 37,,605.00,,,,,,Kepler-318.xml,
Kepler-319,Kepler-319,19 15 14,,+39 46 14,,542.69,,,,,,Kepler-319.xml,
Kepler-32,Kepler-32,19 51 22,,+46 34 27,,399,,,,,,Kepler-32.xml,
Kepler-320,Kepler-320,19 32 51,,+46 10 30,,767.15,,,,,,Kepler-320.xml,
Kepler-321,Kepler-321,19 37 48,,+44 08 45,,461.82,,,,,,Kepler-321.xml,
Kepler-322,Kepler-322,18 45 23,,+44 17 42,,443.29,,,,,,Kepler-322.xml,
Kepler-323,Kepler-323,19 25 31,,+38 07 38,,499.35,,,,,,Kepler-323.xml,
Kepler-324,Kepler-324,19 05 53,,+49 38 56,,510.66,,,,,,Kepler-324.xml,
Kepler-325,Kepler-325,19 19 20,,+49 49 32,,1125.08,,,,,,Kepler-325.xml,
Kepler-326,Kepler-326,19 37 18,,+46 00 08,,386.07,,,,,,Kepler-326.xml,
Kepler-327,Kepler-327,19 30 34,,+44 05 15,,241.74,,,,,,Kepler-327.xml,
Kepler-329,Kepler-329,19 57 04,,+45 13 38,,390.80,,,,,,Kepler-329.xml,
Kepler-33,Kepler-33,19 16 18,,+46 00 18,,917.8,,,,,,Kepler-33.xml,
Kepler-330,Kepler-330,19 13 47,,+44 48 06,,719.80,,,,,,Kepler-330.xml,
Kepler-331,Kepler-331,19 27 20,,+39 18 26,,466.86,,,,,,Kepler-331.xml,
Kepler-332,Kepler-332,19 06 39,,+47 24 49,,379.55,,,,,,Kepler-332.xml,
Kepler-333,Kepler-333,19 29 08,,+40 54 48,,288.94,,,,,,Kepler-333.xml,
Kepler-334,Kepler-334,19 08 33,,+47 06 54,,439.80,,,,,,Kepler-334.xml,
Kepler-335,Kepler-335,19 44 15,,+45 25 43,,1361.65,,,,,,Kepler-335.xml,
Kepler-336,Kepler-336,19 20 57,,+41 19 52,,794.61,,,,,,Kepler-336.xml,
Kepler-337,Kepler-337,19 20 14,,+47 09 50,,674.39,,,,,,Kepler-337.xml,
Kepler-338,Kepler-338,18 51 54,,+40 47 03,,545.29,,,,,,Kepler-338.xml,
Kepler-339,Kepler-339,19 33 24,,+48 26 40,,691.82,,,,,,Kepler-339.xml,
Kepler-340,Kepler-340,19 43 44,,+40 18 02,,806.00,,,,,,Kepler-340.xml,
Kepler-341,Kepler-341,19 19 26,,+43 28 21,,1039.88,,,,,,Kepler-341.xml,
Kepler-342,Kepler-342,19 30 42,,+46 43 36,,807.28,,,,,,Kepler-342.xml,
Kepler-343,Kepler-343,19 27 50,,+42 25 58,,1091.93,,,,,,Kepler-343.xml,
Kepler-344,Kepler-344,19 29 59,,+46 19 27,,1307.52,,,,,,Kepler-344.xml,
Kepler-345,Kepler-345,19 40 54,,+45 58 15,,272.73,,,,,,Kepler-345.xml,
Kepler-346,Kepler-346,19 12 02,,+46 07 03,,1384.64,,,,,,Kepler-346.xml,
Kepler-347,Kepler-347,19 16 47,,+49 18 20,,1004.99,,,,,,Kepler-347.xml,
Kepler-348,Kepler-348,19 49 01,,+40 32 54,,568.09,,,,,,Kepler-348.xml,
Kepler-349,Kepler-349,19 34 42,,+44 36 56,,987.72,,,,,,Kepler-349.xml,
Kepler-350,Kepler-350,19 01 40,,+39 42 21,,1130.55,,,,,,Kepler-350.xml,
Kepler-351,Kepler-351,19 05 48,,+42 39 28,,1448.51,,,,,,Kepler-351.xml,
Kepler-352,Kepler-352,19 59 35,,+46 03 07,,279.58,,,,,,Kepler-352.xml,
Kepler-353,Kepler-353,19 47 25,,+41 45 29,,370.06,,,,,,Kepler-353.xml,
Kepler-354,Kepler-354,19 03 00,,+41 20 08,,633.05,,,,,,Kepler-354.xml,
Kepler-355,Kepler-355,19 03 11,,+42 48 42,,1432.65,,,,,,Kepler-355.xml,
Kepler-356,Kepler-356,19 29 41,,+37 40 58,,672.47,,,,,,Kepler-356.xml,
Kepler-357,Kepler-357,19 24 58,,+44 00 31,,926.37,,,,,,Kepler-357.xml,
Kepler-358,Kepler-358,19 32 55,,+48 16 52,,1336.21,,,,,,Kepler-358.xml,
Kepler-359,Kepler-359,19 33 10,,+42 11 46,,2152.57,,,,,,Kepler-359.xml,
Kepler-36,Kepler-36,19 25 00,,+49 13 54,,436.937,,,,,,Kepler-36.xml,
Kepler-360,Kepler-360,19 05 08,,+44 46 53,,1230.47,,,,,,Kepler-360.xml,
Kepler-361,Kepler-361,19 47 12,,+46 44 28,,894.44,,,,,,Kepler-361.xml,
Kepler-362,Kepler-362,19 27 05,,+47 31 47,,648.69,,,,,,Kepler-362.xml,
Kepler-363,Kepler-363,18 52 46,,+41 18 19,,734.62,,,,,,Kepler-363.xml,
Kepler-364,Kepler-364,18 46 16,,+47 23 55,,872.59,,,,,,Kepler-364.xml,
Kepler-365,Kepler-365,19 42 30,,+49 07 49,,1089.04,,,,,,Kepler-365.xml,
Kepler-366,Kepler-366,19 47 24,,+49 05 03,,1268.38,,,,,,Kepler-366.xml,
Kepler-367,Kepler-367,19 49 10,,+49 58 53,,196.01,,,,,,Kepler-367.xml,
Kepler-368,Kepler-368,19 27 31,,+45 23 16,,765.99,,,,,,Kepler-368.xml,
Kepler-369,Kepler-369,19 34 41,,+47 54 30,,279.57,,,,,,Kepler-369.xml,
Kepler-37,Kepler-37,18 56 14,,+44 31 05,,,,,,,,Kepler-37.xml,
Kepler-370,Kepler-370,19 28 41,,+40 54 58,,1139.98,,,,,,Kepler-370.xml,
Kepler-371,Kepler-371,19 29 18,,+38 39 27,,637.54,,,,,,Kepler-371.xml,
Kepler-372,Kepler-372,19 25 01,,+49 15 32,,1539.69,,,,,,Kepler-372.xml,
Kepler-373,Kepler-373,19 17 33,,+50 35 49,,763.85,,,,,,Kepler-373.xml,
Kepler-374,Kepler-374,19 36 33,,+42 22 13,,950.89,,,,,,Kepler-374.xml,
Kepler-375,Kepler-375,19 14 28,,+48 05 54,,1323.46,,,,,,Kepler-375.xml,
Kepler-376,Kepler-376,19 26 25,,+38 24 37,,785.94,,,,,,Kepler-376.xml,
Kepler-377,Kepler-377,19 41 41,,+38 44 08,,865.20,,,,,,Kepler-377.xml,
Kepler-378,Kepler-378,19 39 47,,+46 26 19,,154.57,,,,,,Kepler-378.xml,
Kepler-379,Kepler-379,19 42 48,,+38 56 44,,758.70,,,,,,Kepler-379.xml,
Kepler-380,Kepler-380,18 49 34,,+48 45 32,,811.74,,,,,,Kepler-380.xml,
Kepler-381,Kepler-381,19 00 43,,+43 49 51,,243.23,,,,,,Kepler-381.xml,
Kepler-382,Kepler-382,19 56 32,,+45 52 11,,841.11,,,,,,Kepler-382.xml,
Kepler-383,Kepler-383,19 25 22,,+38 21 47,,519.82,,,,,,Kepler-383.xml,
Kepler-384,Kepler-384,19 04 06,,+44 46 58,,482.52,,,,,,Kepler-384.xml,
Kepler-385,Kepler-385,19 37 21,,+50 20 11,,1677.42,,,,,,Kepler-385.xml,
Kepler-386,Kepler-386,19 19 26,,+48 41 37,,927.61,,,,,,Kepler-386.xml,
Kepler-387,Kepler-387,19 11 11,,+45 39 24,,738.47,,,,,,Kepler-387.xml,
Kepler-388,Kepler-388,18 59 18,,+44 36 31,,399.01,,,,,,Kepler-388.xml,
Kepler-389,Kepler-389,19 27 50,,+44 54 00,,1101.76,,,,,,Kepler-389.xml,
Kepler-390,Kepler-39,19 26 30,,+41 12 30,,429.55,1200.0,,250.0,,250.0,Kepler-390.xml,
Kepler-390,Kepler-390,19 26 30,,+41 12 30,,429.55,,,,,,Kepler-390.xml,
Kepler-391,Kepler-391,19 22 29,,+51 03 26,,1174.48,,,,,,Kepler-391.xml,
Kepler-392,Kepler-392,19 14 38,,+43 22 05,,659.81,,,,,,Kepler-392.xml,
Kepler-393,Kepler-393,19 23 58,,+45 11 31,,788.49,,,,,,Kepler-393.xml,
Kepler-394,Kepler-394,19 45 12,,+50 40 20,,1422.08,,,,,,Kepler-394.xml,
Kepler-395,Kepler-395,19 34 02,,+45 08 11,,537.21,,,,,,Kepler-395.xml,
Kepler-397,Kepler-397,19 43 34,,+42 22 49,,1153.82,,,,,,Kepler-397.xml,
Kepler-398,Kepler-398,19 25 52,,+40 20 37,,187.15,,,,,,Kepler-398.xml,
Kepler-399,Kepler-399,19 58 00,,+40 40 14,,543.74,,,,,,Kepler-399.xml,
Kepler-4,Kepler-4,19 02 28,,+50 08 09,,,,,80.0,,80.0,Kepler-4.xml,
Kepler-400,Kepler-40,19 23 46,,+40 28 48,,716.62,2700.0,,200.0,,200.0,Kepler-400.xml,
Kepler-400,Kepler-400,19 23 46,,+40 28 48,,716.62,,,,,,Kepler-400.xml,
Kepler-401,Kepler-401,19 20 19,,+50 51 48,,774.02,,,,,,Kepler-401.xml,
Kepler-402,Kepler-402,19 13 28,,+43 21 16,,712.90,,,,,,Kepler-402.xml,
Kepler-403,Kepler-403,19 19 41,,+46 44 40,,605.63,,,,,,Kepler-403.xml,
Kepler-404,Kepler-404,19 05 35,,+45 20 36,,1059.76,,,,,,Kepler-404.xml,
Kepler-405,Kepler-405,19 25 38,,+38 20 24,,1513.02,,,,,,Kepler-405.xml,
Kepler-406,Kepler-406,19 27 24,,+44 58 05,,353.6,,,,,,Kepler-406.xml,
KOI-1612,Kepler-408,18 59 08.6,,+48 25 23,,,,,,,,KOI-1612.xml,
Kepler-409,Kepler-409,19 34 43,,+46 51 09,,69.2,66.8,,2.05,,2.02,Kepler-409.xml,
Kepler-41,Kepler-41,19 38 03,,+48 58 54,,771.43,730.0,,70.0,,70.0,Kepler-41.xml,
KOI-1781,KOI-1781,19 10 25.34,,+49 31 23.7,,,,,,,,KOI-1781.xml,
Kepler-412,Kepler-412,19 04 26,,+43 40 51,,,,36,0.036,36,0.036,Kepler-412.xml,
KOI-1474,KOI-1474,19 41 40.30,,+51 11 05.2,,,,,,,,KOI-1474.xml,
Kepler-42,Kepler-42,19 28 52,,+43 37 09,,,,,6.3,,6.3,Kepler-42.xml,
Kepler-421,Kepler-421,18 53 01,,+45 05 16,,,,,,,,Kepler-421.xml,
Kepler-422,Kepler-422,18 50 31,,+46 19 24,,651.31,,,,,,Kepler-422.xml,
Kepler-424,Kepler-424,19 54 29,,+48 34 38,,661.72,,,,,,Kepler-424.xml,
Kepler-430,Kepler-43,19 31 14.07,,+49 34 46.0,,,1950.0,,250.0,,250.0,Kepler-430.xml,
Kepler-430,Kepler-430,19 31 14.07,,+49 34 46.0,,,,,,,,Kepler-430.xml,
Kepler-431,Kepler-431,18 44 26.96,,+43 13 40.0,,,,,,,,Kepler-431.xml,
Kepler-436,Kepler-436,20 06 52.98,,+44 24 43.4,,,,,,34,30.0,Kepler-436.xml,
Kepler-437,Kepler-437,19 49 23.37,,+44 01 37.0,,,,21,24.0,,,Kepler-437.xml,
Kepler-438,Kepler-438,18 46 35.00,,+41 57 03.9,,,,,,20,23.0,Kepler-438.xml,
Kepler-439,Kepler-439,18 43 12.38,,+44 02 02.4,,,,38,66.0,66,38.0,Kepler-439.xml,
Kepler-44,Kepler-44,20 00 25,,+45 45 44,,,,,,,,Kepler-44.xml,
Kepler-440,Kepler-440,19 01 23.99,,+41 27 07.9,,,,46,16.0,16,46.0,Kepler-440.xml,
Kepler-441,Kepler-441,18 58 16.05,,+49 00 45.2,,,,48,28.0,28,48.0,Kepler-441.xml,
Kepler-442,Kepler-442,19 01 27.98,,+39 16 48.3,,,,,,19,22.0,Kepler-442.xml,
Kepler-443,Kepler-443,19 14 26.53,,+49 58 07.1,,,,38,45.0,45,38.0,Kepler-443.xml,
Kepler-444,Kepler-444,19 19 00.54910,,+41 38 04.5682,,35.7,,1.1,,1.1,,Kepler-444.xml,
Kepler-445,Kepler-445,19 54 56.668,,+46 29 55.08,,,,,,,,Kepler-445.xml,
Kepler-446,Kepler-446,18 49 00.051,,+44 55 15.99,,,,,,,,Kepler-446.xml,
Kepler-447,Kepler-447,19 01 04.461,,+48 33 36.05,,,,,,,,Kepler-447.xml,
Kepler-109,KOI-12,19 21 34.263,,+40 17 05.66,,468.1,426.0,,40.0,,40.0,Kepler-109.xml,
Kepler-449,Kepler-449,19 34 55.874,,+41 54 02.98,,,,,,,,Kepler-449.xml,
Kepler-45,Kepler-45,19 31 30,,+41 03 51,,,,,,,,Kepler-45.xml,
Kepler-450,Kepler-450,19 41 56.76,,+51 00 48.6,,,,,,,,Kepler-450.xml,
Kepler-452,Kepler-452,19 44 00,,+44 16 39,,430,,,,,,Kepler-452.xml,
Kepler-454,Kepler-454,19 09 54.841,,+38 13 43.95,,200,,,,,,Kepler-454.xml,
KIC 8540376,Kepler-457,18 49 30.607,,+44 41 40.52,,,,,,,,KIC 8540376.xml,
KIC 9663113,KIC 9663113,19 48 10.901,,+46 19 43.32,,,,,,,,KIC 9663113.xml,
Kepler-46,Kepler-46,19 17 04,,+42 36 15,,855,857.0,,69.0,,69.0,Kepler-46.xml,
Kepler-461,Kepler-461,19 28 59.8,,+46 09 54,,,468.0,,,,,Kepler-461.xml,
Kepler-248,KOI-89,19 32 14,,+43 34 52,,851.10,,,,,,Kepler-248.xml,
Kepler-463,Kepler-463,19 55 45,,+44 51 28,,,336.0,,,,,Kepler-463.xml,
Kepler-464,Kepler-464,19 39 20,,+48 58 56,,,653.0,,,,,Kepler-464.xml,
