Primary system name(from OEC_system.csv),star_name(from standardize_EU_Catalogue_System_Data.csv),Right ascension(from OEC_system.csv),Right ascension(from standardize_EU_Catalogue_System_Data.csv),Declination(from OEC_system.csv),Declination(from standardize_EU_Catalogue_System_Data.csv),Distance [parsec](from OEC_system.csv),star_distance(from standardize_EU_Catalogue_System_Data.csv),Distance errorminus(from OEC_system.csv),star_distance_error_min(from standardize_EU_Catalogue_System_Data.csv),Distance errorplus(from OEC_system.csv),star_distance_error_max(from standardize_EU_Catalogue_System_Data.csv),source (xml)(from OEC_system.csv),source (xml)(from standardize_EU_Catalogue_System_Data.csv)
HD 116029,HD 1160,13 20 39,,+24 38 55,,123,103.5,,4.0,,4.0,HD 116029.xml,
HD 116029,HD 116029,13 20 39,,+24 38 55,,123,123.2,,9.9,,9.9,HD 116029.xml,
HD 117207,HD 117207,13 29 21,,-35 34 15,,,,,,,,HD 117207.xml,
HD 11755,HD 11755,01 58 50.087,,+73 09 08.58,,,,22.7,,22.7,,HD 11755.xml,
HD 117618,HD 117618,13 32 25,,-47 16 16,,,,,,,,HD 117618.xml,
HD 118203,HD 118203,13 34 02,,+53 43 42,,,,,,,,HD 118203.xml,
HD 11964,HD 11964,01 57 09,,-10 14 32,,,,,,,,HD 11964.xml,
HD 11977,HD 11977,01 54 56,,-67 38 50,,,,,2.1,,2.1,HD 11977.xml,
HD 120084,HD 120084,13 42 39,,+78 03 51,,98,97.7,,4.7,,4.7,HD 120084.xml,
HD 121504,HD 121504,13 57 17,,-56 02 24,,,,,,,,HD 121504.xml,
HD 125595,HD 125595,14 21 23,,-40 23 38,,,,,0.9,,0.9,HD 125595.xml,
HD 125612,HD 125612,14 20 54,,-17 28 53,,,,,,,,HD 125612.xml,
HD 12648,HD 12648,02 18 59.654,,+85 44 10.22,,,,,,,,HD 12648.xml,
HD 126525,HD 126525,14 27 33,,-51 55 59,,,,,1.0,,1.0,HD 126525.xml,
HD 12661,HD 12661,02 04 34,,+25 24 51,,,,,,,,HD 12661.xml,
HD 126614,HD 126614,14 26 48.28070,,-05 10 40.0074,,72.6,72.4,5.1,5.3,5.1,5.3,HD 126614.xml,
HD 128311,HD 128311,14 36 00,,+09 44 47,,,,,,,,HD 128311.xml,
HD 129445,HD 129445,14 46 03,,-68 45 45,,,,,5.1,,5.1,HD 129445.xml,
HD 130322,HD 130322,14 47 33,,-00 16 53,,,,,,,,HD 130322.xml,
HD 131496,HD 131496,14 53 23,,+18 14 07,,,,,9.4,,9.4,HD 131496.xml,
HD 13189,HD 13189,02 09 40,,+32 18 59,,,,,,,,HD 13189.xml,
HD 132406,HD 132406,14 56 55,,+53 22 56,,,,,3.5,,3.5,HD 132406.xml,
HD 134060,HD 134060,15 10 45,,-61 25 20,,,,,0.25,,0.25,HD 134060.xml,
HD 134606,HD 134606,15 15 15,,-70 31 11,,,,,0.4,,0.4,HD 134606.xml,
HD 134987,HD 134987,15 13 28,,-25 18 33,,,,,1.1,,1.1,HD 134987.xml,
HD 136352,HD 136352,15 21 48,,-48 19 03,,,,,0.08,,0.08,HD 136352.xml,
HD 136418,HD 136418,15 19 07,,+41 44 00,,,,,5.6,,5.6,HD 136418.xml,
HD 137388,HD 137388,15 35 40,,-80 12 17,,,,,3.0,,3.0,HD 137388.xml,
HD 13808,HD 13808,02 12 43,,-53 44 38,,,,,0.3,,0.3,HD 13808.xml,
HD 13908,HD 13908,02 18 14.56056,,+65 35 39.6988,,71.3,71.2,,,,,HD 13908.xml,
HD 13931,HD 13931,02 16 47.37946,,+43 46 22.7907,,,,1.3,1.4,1.3,1.4,HD 13931.xml,
HD 139357,HD 139357,15 35 16.19886,,+53 55 29.7129,,118.2,121.4,4.4,8.2,4.4,8.2,HD 139357.xml,
HD 141399,HD 141399,15 46 53,,+46 59 11,,,,,0.5,,0.5,HD 141399.xml,
HD 141937,HD 141937,15 52 17,,-18 26 09,,,,,,,,HD 141937.xml,
HD 142,HD 142,00 06 19,,-49 04 30,,,,,,,,HD 142.xml,
HD 142245,HD 142245,15 52 56,,+15 25 50,,109,109.5,,7.4,,7.4,HD 142245.xml,
HD 142415,HD 142415,15 57 40,,-60 12 00,,,,,,,,HD 142415.xml,
HD 143361,HD 143361,16 01 50,,-44 26 04,,,,,,,,HD 143361.xml,
