Primary planet name,All planet names,Lists,Mass [Mjup],Mass [Mjup] errorminus,Mass [Mjup] errorplus,Mass [Mjup] lowerlimit,Mass [Mjup] upperlimit,Radius [Rjup],Radius [Rjup] errorminus,Radius [Rjup] errorplus,Radius [Rjup] lowerlimit,Radius [Rjup] upperlimit,Orbital period [days],Orbital period [days] errorminus,Orbital period [days] errorplus,Orbital period [days] lowerlimit,Orbital period [days] upperlimit,Eccentricity,Eccentricity errorminus,Eccentricity errorplus,Eccentricity lowerlimit,Eccentricity upperlimit,Equilibrium temperature [K],Equilibrium temperature [K] errorminus,Equilibrium temperature [K] errorplus,Equilibrium temperature [K] lowerlimit,Equilibrium temperature [K] upperlimit,Discovery method,Discovery year,Last updated [yy/mm/dd],source (xml)
Kepler-48 d,Kepler-48 d|KOI-148.03|KOI-148 d|KIC 5735762 d,Confirmed planets,0.024945,0.014470,0.014470,,,0.185906,0.010024,0.010024,,,42.8961,,,,,,,,,,,,,,,transit,2014,14/02/24,Kepler-48.xml
Kepler-48 e,Kepler-48 e|KOI-148.10|KOI-148 e|KIC 5735762 e,Confirmed planets,2.066725,0.078643,0.078643,,,,,,,,982,8,8,,,,,,,,,,,,,RV,2014,14/02/24,Kepler-48.xml
Kepler-480 b,Kepler-480 b,Confirmed planets,,,,,,0.248,0.019,0.026,,,4.919583800,0.000004900,0.000004900,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-480.xml
Kepler-481 b,Kepler-481 b,Confirmed planets,,,,,,0.223,0.026,0.033,,,10.060825670,0.000015220,0.000015220,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-481.xml
Kepler-482 b,Kepler-482 b,Confirmed planets,,,,,,0.211,0.012,0.033,,,56.354185760,0.000093710,0.000093710,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-482.xml
Kepler-483 b,Kepler-483 b,Confirmed planets,,,,,,0.286,0.038,0.061,,,30.229104000,0.000078510,0.000078510,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-483.xml
Kepler-484 b,Kepler-484 b,Confirmed planets,,,,,,0.203,0.004,0.006,,,10.045569310,0.000007200,0.000007200,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-484.xml
Kepler-485 b,Kepler-485 b,Confirmed planets,,,,,,1.286,0.145,0.302,,,3.243259800,0.000000180,0.000000180,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-485.xml
Kepler-486 b,Kepler-486 b,Confirmed planets,,,,,,0.981,0.050,0.036,,,30.360446670,0.000004240,0.000004240,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-486.xml
Kepler-487 b,Kepler-487 b,Confirmed planets,,,,,,1.019,0.047,0.062,,,15.358768400,0.000002210,0.000002210,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-487.xml
Kepler-487 c,Kepler-487 c,Confirmed planets,,,,,,0.239,0.044,0.016,,,38.651997600,0.000251700,0.000251700,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-487.xml
Kepler-488 b,Kepler-488 b,Confirmed planets,,,,,,1.409,0.135,0.343,,,3.120829230,0.000000380,0.000000380,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-488.xml
Kepler-489 b,Kepler-489 b,Confirmed planets,,,,,,0.689,0.018,0.015,,,17.276296120,0.000002450,0.000002450,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-489.xml
Kepler-49 b,Kepler-49 b|KOI-248 b|KOI-248.01|KIC 5364071 b|KIC 5364071.01,Confirmed planets,,,,,,0.21416,0.00820,0.00820,,,7.203871,.000008,0.000008,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-49.xml
Kepler-49 c,Kepler-49 c|KOI-248 c|KOI-248.02|KIC 5364071 c|KIC 5364071.02,Confirmed planets,,,,,,0.18773,0.00820,0.00820,,,10.912732,.000021,0.000021,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-49.xml
Kepler-49 d,Kepler-49 d|KOI-248 d|KOI-248.03|KIC 5364071 d|KIC 5364071.03,Confirmed planets,,,,,,0.14581,0.00638,0.00638,,,2.576549,.000003,0.000003,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-49.xml
Kepler-49 e,Kepler-49 e|KOI-248 e|KOI-248.04|KIC 5364071 e|KIC 5364071.04,Confirmed planets,,,,,,0.14216,0.00729,0.00729,,,18.596108,.000079,0.000079,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-49.xml
Kepler-490 b,Kepler-490 b,Confirmed planets,,,,,,1.039,0.123,0.294,,,3.268695150,0.000000230,0.000000230,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-490.xml
Kepler-491 b,Kepler-491 b,Confirmed planets,,,,,,0.796,0.045,0.071,,,4.225384510,0.000000270,0.000000270,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-491.xml
Kepler-492 b,Kepler-492 b,Confirmed planets,,,,,,0.856,0.054,0.107,,,11.720122660,0.000001530,0.000001530,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-492.xml
Kepler-493 b,Kepler-493 b,Confirmed planets,,,,,,1.350,0.227,0.446,,,3.003876580,0.000000990,0.000000990,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-493.xml
Kepler-494 b,Kepler-494 b,Confirmed planets,,,,,,0.637,0.089,0.118,,,8.025118210,0.000002270,0.000002270,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-494.xml
Kepler-495 b,Kepler-495 b,Confirmed planets,,,,,,0.467,0.030,0.037,,,3.413036220,0.000000600,0.000000600,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-495.xml
Kepler-496 b,Kepler-496 b,Confirmed planets,,,,,,0.207,0.012,0.017,,,8.308649370,0.000010900,0.000010900,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-496.xml
Kepler-497 b,Kepler-497 b,Confirmed planets,,,,,,0.539,0.059,0.141,,,3.573203670,0.000000910,0.000000910,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-497.xml
Kepler-498 b,Kepler-498 b,Confirmed planets,,,,,,0.270,0.030,0.045,,,9.613753560,0.000011730,0.000011730,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-498.xml
Kepler-499 b,Kepler-499 b,Confirmed planets,,,,,,0.194,0.014,0.022,,,5.632528450,0.000005750,0.000005750,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-499.xml
Kepler-5 b,Kepler-5 b|2MASS J19573768+4402061 b|KIC 8191672 b|KOI-18.01|KOI-18 b,Confirmed planets,2.114,0.059,0.056,,,1.431,0.052,0.041,,,3.548460,0.000032,0.000032,,,0.0,,,,,1652.1,,,,,transit,2010,10/04/23,Kepler-5.xml
Kepler-50 b,Kepler-50 b|KOI-262.01|KOI-262 b|KIC 11807274 b,Confirmed planets,0.015963,,,,,0.155832,,,,,7.81254,,,,,,,,,,,,,,,transit,2012,13/02/17,Kepler-50.xml
Kepler-50 c,Kepler-50 c|KOI-262.02|KOI-262 c|KIC 11807274 c,Confirmed planets,0.026041,,,,,0.1977527,,,,,9.37647,,,,,,,,,,,,,,,transit,2012,13/02/17,Kepler-50.xml
Kepler-500 b,Kepler-500 b,Confirmed planets,,,,,,0.230,0.015,0.022,,,8.508324400,0.000009110,0.000009110,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-500.xml
Kepler-501 b,Kepler-501 b,Confirmed planets,,,,,,0.384,0.041,0.062,,,5.640677570,0.000003780,0.000003780,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-501.xml
Kepler-502 b,Kepler-502 b,Confirmed planets,,,,,,0.426,0.059,0.130,,,4.286864310,0.000003220,0.000003220,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-502.xml
Kepler-503 b,Kepler-503 b,Confirmed planets,,,,,,0.559,0.051,0.128,,,7.258447210,0.000002820,0.000002820,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-503.xml
Kepler-504 b,Kepler-504 b,Confirmed planets,,,,,,0.142,0.020,0.016,,,9.549275420,0.000004990,0.000004990,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-504.xml
Kepler-505 b,Kepler-505 b,Confirmed planets,,,,,,0.232,0.008,0.010,,,27.521979940,0.000032950,0.000032950,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-505.xml
Kepler-506 b,Kepler-506 b,Confirmed planets,,,,,,0.244,0.005,0.005,,,6.883405500,0.000003150,0.000003150,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-506.xml
Kepler-507 b,Kepler-507 b,Confirmed planets,,,,,,0.116,0.015,0.021,,,3.568096930,0.000007070,0.000007070,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-507.xml
Kepler-508 b,Kepler-508 b,Confirmed planets,,,,,,0.146,0.017,0.023,,,25.308897480,0.000057470,0.000057470,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-508.xml
Kepler-509 b,Kepler-509 b,Confirmed planets,,,,,,0.222,0.005,0.005,,,41.746003920,0.000044440,0.000044440,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-509.xml
Kepler-51 b,Kepler-51 b|KOI-620.01|KOI-620 b|KIC 11773022 b,Confirmed planets,0.0066,0.0025,0.0047,,,0.633,0.027,0.027,,,45.1540,0.0002,0.0002,,,0.04,0.01,0.01,,,,,,,,transit,2012,15/12/12,Kepler-51.xml
Kepler-51 c,Kepler-51 c|KOI-620.03|KOI-620 c|KIC 11773022 c,Confirmed planets,0.0126,0.0013,0.0013,,,0.803,0.152,0.250,,,85.312,0.002,0.003,,,0.014,0.009,0.013,,,,,,,,transit,2012,15/12/12,Kepler-51.xml
Kepler-51 d,Kepler-51 d|KOI-620 d|KOI-620.02|KIC 11773022 d|KIC 11773022.02,Confirmed planets,0.0239,0.0035,0.0035,,,0.865,0.045,0.045,,,130.194,0.002,0.005,,,,,,,,,,,,,transit,2014,15/12/12,Kepler-51.xml
Kepler-510 b,Kepler-510 b,Confirmed planets,,,,,,0.220,0.011,0.021,,,19.556594180,0.000036060,0.000036060,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-510.xml
Kepler-511 b,Kepler-511 b,Confirmed planets,,,,,,0.567,0.091,0.125,,,296.637865000,0.000447200,0.000447200,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-511.xml
Kepler-512 b,Kepler-512 b,Confirmed planets,,,,,,0.240,0.028,0.044,,,34.435879750,0.000082580,0.000082580,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-512.xml
Kepler-513 b,Kepler-513 b,Confirmed planets,,,,,,0.196,0.018,0.028,,,28.862355840,0.000067350,0.000067350,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-513.xml
Kepler-514 b,Kepler-514 b,Confirmed planets,,,,,,0.153,0.017,0.025,,,5.651796050,0.000010870,0.000010870,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-514.xml
Kepler-515 b,Kepler-515 b,Confirmed planets,,,,,,0.130,0.004,0.005,,,19.963713180,0.000056590,0.000056590,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-515.xml
Kepler-516 b,Kepler-516 b,Confirmed planets,,,,,,0.512,0.103,0.128,,,24.854624150,0.000028190,0.000028190,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-516.xml
Kepler-517 b,Kepler-517 b,Confirmed planets,,,,,,0.238,0.020,0.029,,,60.928322710,0.000070530,0.000070530,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-517.xml
Kepler-518 b,Kepler-518 b,Confirmed planets,,,,,,0.188,0.004,0.004,,,8.512035880,0.000004500,0.000004500,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-518.xml
Kepler-519 b,Kepler-519 b,Confirmed planets,,,,,,0.187,0.004,0.005,,,24.307894600,0.000024460,0.000024460,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-519.xml
Kepler-52 c,Kepler-52 c|KOI-775 c|KOI-775.01|KIC 11754553 c|KIC 11754553.01,Confirmed planets,,,,,,0.15583,0.00729,0.00729,,,16.384888,.000080,0.000080,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-52.xml
Kepler-52 b,Kepler-52 b|KOI-775 b|KOI-775.02|KIC 11754553 b|KIC 11754553.02,Confirmed planets,,,,,,0.21324,0.02005,0.02005,,,7.877407,.000020,0.000020,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-52.xml
Kepler-52 d,Kepler-52 d|KOI-775 d|KOI-775.03|KIC 11754553 d|KIC 11754553.03,Confirmed planets,,,,,,0.17770,0.01914,0.01914,,,36.445171,.000253,0.000253,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-52.xml
Kepler-520 b,Kepler-520 b,Confirmed planets,,,,,,0.148,0.009,0.025,,,19.674161240,0.000052450,0.000052450,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-520.xml
Kepler-520 c,Kepler-520 c,Confirmed planets,,,,,,0.095,0.004,0.006,,,5.211042610,0.000012310,0.000012310,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-520.xml
Kepler-521 b,Kepler-521 b,Confirmed planets,,,,,,0.284,0.021,0.028,,,22.208132140,0.000040130,0.000040130,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-521.xml
Kepler-522 b,Kepler-522 b,Confirmed planets,,,,,,0.616,0.108,0.134,,,38.584228490,0.000045680,0.000045680,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-522.xml
Kepler-523 b,Kepler-523 b,Confirmed planets,,,,,,0.175,0.005,0.007,,,5.835983110,0.000004660,0.000004660,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-523.xml
Kepler-524 b,Kepler-524 b,Confirmed planets,,,,,,0.170,0.011,0.012,,,7.974198070,0.000020380,0.000020380,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-524.xml
Kepler-524 c,Kepler-524 c,Confirmed planets,,,,,,0.086,0.006,0.007,,,1.888979060,0.000010700,0.000010700,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-524.xml
Kepler-525 b,Kepler-525 b,Confirmed planets,,,,,,0.235,0.046,0.034,,,18.684049330,0.000055890,0.000055890,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-525.xml
Kepler-526 b,Kepler-526 b,Confirmed planets,,,,,,0.178,0.015,0.014,,,5.458498320,0.000009070,0.000009070,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-526.xml
Kepler-527 b,Kepler-527 b,Confirmed planets,,,,,,0.253,0.041,0.120,,,13.285356330,0.000024090,0.000024090,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-527.xml
Kepler-528 b,Kepler-528 b,Confirmed planets,,,,,,0.186,0.017,0.026,,,19.782974150,0.000065320,0.000065320,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-528.xml
Kepler-529 b,Kepler-529 b,Confirmed planets,,,,,,0.166,0.015,0.022,,,1.980357660,0.000002310,0.000002310,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-529.xml
Kepler-529 c,Kepler-529 c,Confirmed planets,,,,,,0.178,0.019,0.037,,,12.834502200,0.000036590,0.000036590,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-529.xml
Kepler-53 b,Kepler-53 b|KOI-829 b|KOI-829.01|KIC 5358241 b|KIC 5358241.01,Confirmed planets,,,,,,0.25608,0.03372,0.12485,,,18.649113,.000087,0.000087,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-53.xml
Kepler-53 d,Kepler-53 d|KOI-829 d|KOI-829.02|KIC 5358241 d|KIC 5358241.02,Confirmed planets,,,,,,0.19320,0.00456,0.09569,,,9.751962,.000077,0.000077,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-53.xml
Kepler-53 c,Kepler-53 c|KOI-829 c|KOI-829.03|KIC 5358241 c|KIC 5358241.03,Confirmed planets,,,,,,0.33992,0.07655,0.16768,,,38.558585,.000249,0.000249,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-53.xml
Kepler-530 b,Kepler-530 b,Confirmed planets,,,,,,0.269,0.009,0.015,,,39.309419040,0.000048340,0.000048340,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-530.xml
Kepler-531 b,Kepler-531 b,Confirmed planets,,,,,,0.248,0.017,0.007,,,29.884857410,0.000032460,0.000032460,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-531.xml
Kepler-532 b,Kepler-532 b,Confirmed planets,,,,,,0.229,0.012,0.019,,,12.924916230,0.000012300,0.000012300,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-532.xml
Kepler-533 b,Kepler-533 b,Confirmed planets,,,,,,0.302,0.029,0.007,,,28.511205250,0.000023210,0.000023210,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-533.xml
Kepler-534 b,Kepler-534 b,Confirmed planets,,,,,,0.200,0.006,0.007,,,15.959945130,0.000022160,0.000022160,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-534.xml
Kepler-535 b,Kepler-535 b,Confirmed planets,,,,,,0.211,0.019,0.029,,,4.903321550,0.000004540,0.000004540,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-535.xml
Kepler-536 b,Kepler-536 b,Confirmed planets,,,,,,0.277,0.020,0.034,,,1.827082300,0.000000440,0.000000440,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-536.xml
Kepler-537 b,Kepler-537 b,Confirmed planets,,,,,,0.126,0.004,0.005,,,3.247555220,0.000005260,0.000005260,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-537.xml
Kepler-538 b,Kepler-538 b,Confirmed planets,,,,,,0.202,0.008,0.009,,,81.737806990,0.000093260,0.000093260,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-538.xml
Kepler-539 b,Kepler-539 b,Confirmed planets,,,,,,0.747,0.017,0.017,,,125.632430000,0.000710000,0.000710000,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-539.xml
Kepler-539 c,Kepler-539 c,Confirmed planets,,,,,,,,,,,1000.000000000,,,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-539.xml
Kepler-54 b,Kepler-54 b|KOI-886 b|KOI-886.01|KIC 7455287 b|KIC 7455287.01,Confirmed planets,,,,,,0.18864,0.01094,0.01094,,,8.010260,.000030,0.000030,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-54.xml
Kepler-54 c,Kepler-54 c|KOI-886 c|KOI-886.02|KIC 7455287 c|KIC 7455287.02,Confirmed planets,,,,,,0.15948,0.01094,0.01094,,,12.072389,.000100,0.000100,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-54.xml
Kepler-54 d,Kepler-54 d|KOI-886 d|KOI-886.03|KIC 7455287 d|KIC 7455287.03,Confirmed planets,,,,,,0.13943,0.00729,0.00729,,,20.995694,.000143,0.000143,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-54.xml
Kepler-540 b,Kepler-540 b,Confirmed planets,,,,,,0.242,0.023,0.034,,,172.704978400,0.000535600,0.000535600,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-540.xml
Kepler-541 b,Kepler-541 b,Confirmed planets,,,,,,0.300,0.050,0.052,,,5.080058480,0.000013380,0.000013380,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-541.xml
Kepler-542 b,Kepler-542 b,Confirmed planets,,,,,,0.140,0.010,0.009,,,13.144975660,0.000034910,0.000034910,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-542.xml
Kepler-543 b,Kepler-543 b,Confirmed planets,,,,,,0.223,0.023,0.011,,,13.899619660,0.000011020,0.000011020,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-543.xml
Kepler-544 b,Kepler-544 b,Confirmed planets,,,,,,0.189,0.012,0.017,,,21.416169260,0.000080950,0.000080950,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-544.xml
Kepler-545 b,Kepler-545 b,Confirmed planets,,,,,,0.240,0.019,0.027,,,13.249340590,0.000021040,0.000021040,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-545.xml
Kepler-546 b,Kepler-546 b,Confirmed planets,,,,,,0.624,0.069,0.172,,,4.147020260,0.000000880,0.000000880,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-546.xml
Kepler-547 b,Kepler-547 b,Confirmed planets,,,,,,0.357,0.028,0.012,,,6.010384290,0.000001570,0.000001570,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-547.xml
Kepler-548 b,Kepler-548 b,Confirmed planets,,,,,,1.070,0.098,0.195,,,4.454194340,0.000000380,0.000000380,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-548.xml
Kepler-549 b,Kepler-549 b,Confirmed planets,,,,,,0.229,0.015,0.021,,,42.949564900,0.000154300,0.000154300,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-549.xml
Kepler-549 c,Kepler-549 c,Confirmed planets,,,,,,0.261,0.053,0.022,,,117.040498000,0.001777000,0.001777000,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-549.xml
Kepler-55 d,Kepler-55 d|KOI-904 d|KOI-904.01|KIC 8150320 d|KIC 8150320.01,Confirmed planets,,,,,,0.14490,0.00820,0.00820,,,2.211099,.000004,0.000004,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-55.xml
Kepler-55 b,Kepler-55 b|KOI-904 b|KOI-904.02|KIC 8150320 b|KIC 8150320.02,Confirmed planets,,,,,,0.19684,0.01094,0.01094,,,27.953314,.000176,0.000176,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-55.xml
Kepler-55 c,Kepler-55 c|KOI-904 c|KOI-904.03|KIC 8150320 c|KIC 8150320.03,Confirmed planets,,,,,,0.18864,0.01002,0.01002,,,42.142596,.000268,0.000268,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-55.xml
Kepler-55 e,Kepler-55 e|KOI-904 e|KOI-904.04|KIC 8150320 e|KIC 8150320.04,Confirmed planets,,,,,,0.14125,0.02096,0.02096,,,4.617534,.000021,0.000021,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-55.xml
Kepler-55 f,Kepler-55 f|KOI-904 f|KOI-904.05|KIC 8150320 f|KIC 8150320.05,Confirmed planets,,,,,,0.14490,0.00911,0.00911,,,10.198545,.000045,0.000045,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-55.xml
Kepler-550 b,Kepler-550 b,Confirmed planets,,,,,,0.394,0.024,0.030,,,8.600104110,0.000004250,0.000004250,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-550.xml
Kepler-551 b,Kepler-551 b,Confirmed planets,,,,,,0.244,0.013,0.022,,,12.376466100,0.000012980,0.000012980,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-551.xml
Kepler-552 b,Kepler-552 b,Confirmed planets,,,,,,0.352,0.051,0.073,,,5.263415770,0.000002900,0.000002900,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-552.xml
Kepler-553 b,Kepler-553 b,Confirmed planets,,,,,,0.413,0.016,0.012,,,4.030468040,0.000001640,0.000001640,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-553.xml
Kepler-553 c,Kepler-553 c,Confirmed planets,,,,,,0.999,0.028,0.029,,,328.239954600,0.000364600,0.000364600,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-553.xml
Kepler-554 b,Kepler-554 b,Confirmed planets,,,,,,0.383,0.019,0.024,,,1.902208560,0.000000410,0.000000410,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-554.xml
Kepler-555 b,Kepler-555 b,Confirmed planets,,,,,,0.252,0.026,0.050,,,16.217754070,0.000028900,0.000028900,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-555.xml
Kepler-556 b,Kepler-556 b,Confirmed planets,,,,,,0.200,0.011,0.018,,,11.722921760,0.000023810,0.000023810,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-556.xml
Kepler-557 b,Kepler-557 b,Confirmed planets,,,,,,0.238,0.034,0.071,,,3.705989550,0.000004870,0.000004870,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-557.xml
Kepler-558 b,Kepler-558 b,Confirmed planets,,,,,,0.211,0.012,0.015,,,29.007905380,0.000089060,0.000089060,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-558.xml
Kepler-559 b,Kepler-559 b,Confirmed planets,,,,,,0.322,0.032,0.057,,,17.587523330,0.000020560,0.000020560,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-559.xml
Kepler-56 b,Kepler-56 b|KOI-1241.02|KOI-1241 b|KIC 6448890 b,Confirmed planets,0.0695,0.0113,0.0123,,,0.581,0.025,0.026,,,10.51057,0.0010,0.0011,,,,,,,,,,,,,transit,2012,15/04/14,Kepler-56.xml
Kepler-56 c,Kepler-56 c|KOI-1241.01|KOI-1241 c|KIC 6448890 c,Confirmed planets,0.569,0.060,0.066,,,0.874,0.040,0.041,,,21.40239,0.00062,0.00059,,,,,,,,,,,,,transit,2012,15/04/14,Kepler-56.xml
Kepler-56 d,Kepler-56 d|KOI-1241 d|KIC 6448890 d,Controversial,3.3,,,,,,,,,,,,,,,0.4,,,,,,,,,,RV,2012,15/04/14,Kepler-56.xml
Kepler-560 b,Kepler-560 b,Confirmed planets,,,,,,0.153,0.008,0.008,,,18.477644490,0.000015170,0.000015170,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-560.xml
Kepler-561 b,Kepler-561 b,Confirmed planets,,,,,,0.621,0.054,0.108,,,58.362049500,0.000032290,0.000032290,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-561.xml
Kepler-561 c,Kepler-561 c,Confirmed planets,,,,,,0.239,0.022,0.038,,,5.350161980,0.000004430,0.000004430,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-561.xml
Kepler-562 b,Kepler-562 b,Confirmed planets,,,,,,0.465,0.036,0.057,,,18.009314440,0.000009900,0.000009900,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-562.xml
Kepler-563 b,Kepler-563 b,Confirmed planets,,,,,,0.276,0.018,0.015,,,22.184327080,0.000025000,0.000025000,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-563.xml
Kepler-564 b,Kepler-564 b,Confirmed planets,,,,,,0.413,0.032,0.059,,,3.750832280,0.000001220,0.000001220,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-564.xml
Kepler-565 b,Kepler-565 b,Confirmed planets,,,,,,0.325,0.024,0.045,,,4.243747230,0.000002930,0.000002930,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-565.xml
Kepler-566 b,Kepler-566 b,Confirmed planets,,,,,,0.192,0.012,0.012,,,18.427946240,0.000042300,0.000042300,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-566.xml
Kepler-567 b,Kepler-567 b,Confirmed planets,,,,,,0.201,0.011,0.013,,,16.542973750,0.000041490,0.000041490,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-567.xml
Kepler-568 b,Kepler-568 b,Confirmed planets,,,,,,0.202,0.007,0.007,,,11.023474750,0.000007660,0.000007660,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-568.xml
Kepler-569 b,Kepler-569 b,Confirmed planets,,,,,,0.282,0.015,0.020,,,34.188905210,0.000060160,0.000060160,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-569.xml
Kepler-57 b,Kepler-57 b|KOI-1270.01|KOI-1270 b|KIC 8564587 b,Confirmed planets,0.015814,,,,,0.199575,,,,,5.7293196,,,,,,,,,,,,,,,transit,2012,12/08/19,Kepler-57.xml
Kepler-57 c,Kepler-57 c|KOI-1270.02|KOI-1270 c|KIC 8564587 c,Confirmed planets,0.007759,,,,,0.141252,,,,,11.6092567,,,,,,,,,,,,,,,transit,2012,12/08/19,Kepler-57.xml
Kepler-570 b,Kepler-570 b,Confirmed planets,,,,,,0.219,0.013,0.030,,,4.301662000,0.000003100,0.000003100,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-570.xml
