Primary star name(from standardize_OEC_star.csv),pl_hostname(from standardize_NASA_Catalogue_Star_Data.csv),Mass [MSun](from standardize_OEC_star.csv),st_mass(from standardize_NASA_Catalogue_Star_Data.csv),Mass [MSun] errorminus(from standardize_OEC_star.csv),st_masserr2(from standardize_NASA_Catalogue_Star_Data.csv),Mass [MSun] errorplus(from standardize_OEC_star.csv),st_masserr1(from standardize_NASA_Catalogue_Star_Data.csv),Radius [RSun](from standardize_OEC_star.csv),st_rad(from standardize_NASA_Catalogue_Star_Data.csv),Radius [RSun] errorminus(from standardize_OEC_star.csv),st_raderr2(from standardize_NASA_Catalogue_Star_Data.csv),Radius [RSun] errorplus(from standardize_OEC_star.csv),st_raderr1(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr](from standardize_OEC_star.csv),st_age(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr] errorminus(from standardize_OEC_star.csv),st_ageerr2(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr] errorplus(from standardize_OEC_star.csv),st_ageerr1(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr] lowerlimit(from standardize_OEC_star.csv),Age [Gyr] lowerlimit(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr] upperlimit(from standardize_OEC_star.csv),Age [Gyr] upperlimit(from standardize_NASA_Catalogue_Star_Data.csv),Metallicity [Fe/H](from standardize_OEC_star.csv),st_metfe(from standardize_NASA_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorminus(from standardize_OEC_star.csv),st_metfeerr2(from standardize_NASA_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorplus(from standardize_OEC_star.csv),st_metfeerr1(from standardize_NASA_Catalogue_Star_Data.csv),Temperature [K](from standardize_OEC_star.csv),st_teff(from standardize_NASA_Catalogue_Star_Data.csv),Temperature [K] errorminus(from standardize_OEC_star.csv),st_tefferr2(from standardize_NASA_Catalogue_Star_Data.csv),Temperature [K] errorplus(from standardize_OEC_star.csv),st_tefferr1(from standardize_NASA_Catalogue_Star_Data.csv),Spectral type(from standardize_OEC_star.csv),Spectral type(from standardize_NASA_Catalogue_Star_Data.csv),Visual magnitude(from standardize_OEC_star.csv),st_optmag(from standardize_NASA_Catalogue_Star_Data.csv),Visual magnitude errorminus(from standardize_OEC_star.csv),st_optmagerr(from standardize_NASA_Catalogue_Star_Data.csv),Visual magnitude errorplus(from standardize_OEC_star.csv),st_optmagerr(from standardize_NASA_Catalogue_Star_Data.csv),source (xml)(from standardize_OEC_star.csv),source (xml)(from standardize_NASA_Catalogue_Star_Data.csv)
Kepler-32,Kepler-32,,,,0.05,,0.05,,,,0.04,,0.04,,,,,,,,,,,,0.000,,0.400,,0.400,,,,200.00,,200.00,,,,16.452,,,,,Kepler-32.xml,
Kepler-33,Kepler-33,1.291,1.29,0.121,0.12,0.063,0.06,,,,,,,,,,,,,,,,,,,0.0019,0.002,0.0019,0.002,,,,,,,,,13.74,13.988,0.28,,0.28,,Kepler-33.xml,
HIP 79431,HIP 79431,0.49,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,3191.0,,,,,,m3v,,,,,,,,HIP 79431.xml,
HIP 91258,HIP 91258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g5v,,8.65,8.646,0.01,0.015,0.01,0.015,HIP 91258.xml,
HIP 97233,HIP 97233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k0,,,,,,,,HIP 97233.xml,
HIP 116454,HIP 116454,0.775,0.78,0.027,0.03,0.027,0.03,0.716,0.72,0.024,0.02,0.024,0.02,,2.000,,,,,,,,,,,,,,,,,,,,,k0,,,,,0.009,,0.009,HIP 116454.xml,
HR 810,HR 810,1.11,,,,,,1.85,,,,,,,,,,,,,,,,0.25,,,,,,5997.0,,,,,,g0vpecul.,,5.4,5.410,,,,,HR 810.xml,
HR 8799,HR 8799,1.516,1.51,0.024,0.02,0.038,0.04,1.44,,0.06,,0.06,,0.033,,0.0132,,0.007,,,,,,-0.47,,,,,,7193,,87,,87,,ka5hf0ma5v,,,,,,,,HR 8799.xml,
EPIC 201367065,K2-3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,m0.2v,,,,,,,,EPIC 201367065.xml,
KELT-10,KELT-1,1.112,1.32,0.061,,0.055,0.03,1.209,1.46,0.035,,0.047,0.04,,,,,,,,,,,0.09,,0.1,,0.11,,5948,6518.00,74,,74,50.00,,,10.62,10.701,0.06,0.057,0.06,0.057,KELT-10.xml,
KELT-2A,KELT-2 A,1.314,1.31,0.060,,0.063,0.03,1.836,1.83,0.046,,0.066,0.07,,,,,,,,,,,-0.034,,0.78,,0.78,,6148,6151.00,48,,48,50.00,f7v,,8.77,8.713,0.02,0.016,0.02,0.016,KELT-2.xml,
KELT-6,KELT-6,1.126,1.13,0.058,0.06,0.058,0.06,1.529,1.53,0.137,0.14,0.143,0.14,,,,,,,,,,,,,,,,,,,,,,,f8,,10.337,10.418,0.054,0.047,0.054,0.047,KELT-6.xml,
TrES-2 A,TrES-2,0.983,0.98,0.063,0.06,0.063,0.06,1.003,1.00,0.033,0.03,0.033,0.04,,,,,,,,,,,0.001,-0.150,,0.100,,0.100,,,,,,,g0,,11.25,11.411,0.08,0.005,0.08,0.005,TrES-2.xml,
HAT-P-7 A,HAT-P-7,1.59,1.47,0.03,0.07,0.03,0.07,2.02,1.84,0.01,0.17,0.01,0.17,1.770,,0.100,,0.100,,,,,,0.32,0.150,0.04,0.080,0.04,0.080,6310,6441.00,15,69.00,15,69.00,f6,,10.48,10.463,0.05,,0.05,,HAT-P-7.xml,
HAT-P-11,HAT-P-11,,,,0.03,,0.02,,,,0.02,,0.02,,6.500,,4.100,,5.900,,,,,,,,0.050,,0.050,,,,50.00,,50.00,k4,,9.47,9.472,0.02,0.024,0.02,0.024,HAT-P-11.xml,
Kepler-5,Kepler-5,1.374,1.37,0.059,0.06,,,1.793,1.79,0.062,0.06,0.043,0.04,,,,,,,,,,,,,,0.060,,0.060,,,,,,,,,,13.369,,,,,Kepler-5.xml,
Kepler-6,Kepler-6,1.05,1.21,0.07,0.04,0.08,0.04,1.29,1.39,0.10,0.03,0.09,0.02,,,,,,,,,,,,,0.16,0.040,0.10,0.040,5640,5647.00,110,44.00,99,44.00,,,,13.303,,,,,Kepler-6.xml,
Kepler-7,Kepler-7,1.32,1.36,0.09,0.03,0.09,0.03,1.96,1.97,0.07,0.01,0.07,0.01,,,,,,,,,,,0.10,0.110,0.10,0.030,0.10,0.030,6027,5933.00,75,44.00,75,44.00,g0,,,12.885,,,,,Kepler-7.xml,
Kepler-9,Kepler-9,,,,,,,,,,,,,,1.000,,,,,,,,,,,,,,,,,,,,,g2,,13.9,13.803,,,,,Kepler-9.xml,
Kepler-10,Kepler-10,,,0.021,0.02,0.021,0.02,1.065,1.06,0.009,0.01,0.009,0.01,10.6,,1.3,,1.5,,,,,,,,,,,,5643,5627.00,75,44.00,75,44.00,g,,10.96,10.940,,0.345,,0.345,Kepler-10.xml,
Kepler-11,Kepler-11,0.961,0.96,0.024,0.03,0.027,0.03,1.053,1.06,0.015,0.02,0.013,0.02,8.1,8.500,1.3,1.400,1.2,1.100,,,,,,-0.041,,0.041,,0.036,,,67,66.00,,,g,,13.7,14.200,,,,,Kepler-11.xml,
Kepler-12,Kepler-12,1.09,1.17,0.09,0.05,0.13,0.05,1.42,1.48,0.24,0.03,0.30,0.03,,,,,,,,,,,0.08,0.070,0.14,0.040,0.13,0.040,5953,5947.00,123,100.00,105,100.00,g0,,13.4,13.800,,,,,Kepler-12.xml,
Kepler-111,KOI-13,1.1710,1.72,0.0300,0.10,0.0300,0.10,1.157,1.74,.143,0.04,0.143,0.04,,,,,,,,,,,,0.200,,0.200,,0.200,5952,7650.00,4,250.00,74,250.00,,,,9.958,,,,,Kepler-111.xml,
Kepler-15,Kepler-15,1.00,1.02,0.06,0.05,0.03,0.04,0.98,0.99,0.06,0.07,0.16,0.06,,3.700,,3.600,,1.500,,,,,,,0.15,0.070,0.08,0.070,5514,5515.00,109,130.00,89,122.00,g,,13.8,13.758,,,,,Kepler-15.xml,
Kepler-16 A,Kepler-16,0.6897,0.69,,0.00,,0.00,0.6489,0.65,,0.00,,0.00,,,,,,,,,,,,,,0.200,,0.200,,,,150.00,,150.00,k,,,11.762,,,,,Kepler-16.xml,
Kepler-17,Kepler-17,,,,,,,,,,,,,,1.780,,,,,,,,,,,,,,,,,,,,,g2v,,14,14.141,,,,,Kepler-17.xml,
Kepler-34 A,Kepler-34,1.0479,1.05,,0.00,,0.00,1.1618,1.16,,0.00,,0.00,,,,,,,,,,,,-0.070,,0.150,,0.150,,5913.00,,130.00,,130.00,,,,14.875,,,,,Kepler-34.xml,
Kepler-35 A,Kepler-35,,,,0.01,,0.01,1.02,1.03,,0.00,,0.00,,,,,,,,,,,,-0.340,,0.200,,0.200,,5606.00,,150.00,,150.00,,,,15.726,,,,,Kepler-35.xml,
Kepler-36,Kepler-36,1.071,1.07,,0.04,,0.04,1.619,1.63,,0.02,,0.02,,6.800,,1.000,,1.000,,,,,,-0.200,,0.060,,0.060,,,,66.00,,66.00,,,11.94,11.866,0.17,,0.17,,Kepler-36.xml,
Kepler-37,Kepler-37,0.803,0.80,0.068,0.07,0.068,0.07,,,0.026,0.03,0.026,0.03,6,5.660,,,,,,,,,,,,,,,,,,,,,,,9.77,9.705,0.03,,0.03,,Kepler-37.xml,
Kepler-38 A,Kepler-38,0.949,0.94,,0.06,,0.06,1.757,1.75,,0.03,,0.03,,10.000,,3.000,,3.000,,,,,,-0.110,,0.080,,0.080,,5623.00,,50.00,,50.00,,,,13.941,,,,,Kepler-38.xml,
Kepler-390,Kepler-39,0.8440,1.29,0.0390,0.07,0.0390,0.06,0.776,1.40,.053,0.10,0.053,0.10,,2.100,,0.900,,0.800,,,,,,0.100,,0.140,,0.140,5166,6350.00,,,,,,,,14.460,,,,,Kepler-390.xml,
Kepler-41,Kepler-41,1.12,1.15,0.07,0.04,0.07,0.04,1.02,1.29,0.03,0.02,0.03,0.02,,,,,,,,,,,0.29,0.380,0.16,0.110,0.16,0.110,5620,5750.00,140,100.00,140,100.00,g2v,,,14.465,,,,,Kepler-41.xml,
Kepler-42,Kepler-42,,,,0.05,,0.05,,,,0.04,,0.04,,4.500,,1.000,,0.500,,,,,-0.3,-0.330,,0.120,,0.120,,3068.00,,174.00,,174.00,m3v,,,,,,,,Kepler-42.xml,
Kepler-44,Kepler-44,,,,,,,,,,,,,,,,,,,,,,,0.42,0.150,0.11,0.100,0.11,0.100,,,,,,,g2iv,,,14.678,,,,,Kepler-44.xml,
2M 1938+4603 A,Kepler-45,0.48,0.59,0.03,0.06,0.03,0.06,0.223,0.55,0.004,0.11,0.004,0.11,,0.500,,,,,,,,,,0.280,,0.140,,0.140,29564,3820.00,106,90.00,106,90.00,sdbv,,12.69,16.880,0.24,0.050,0.24,0.050,2M 1938+4603.xml,
Kepler-46,Kepler-46,0.8200,0.90,0.1000,0.04,0.1000,0.04,,,0.441,0.44,0.441,0.44,,9.700,,3.500,,3.700,,,,,,,,0.100,,0.100,,,,,,,,,,15.262,,,,,Kepler-46.xml,
Kepler-47 A,Kepler-47,1.043,1.05,,0.06,,0.05,0.964,0.96,,0.02,,0.02,,,,,,,,,,,,-0.250,,0.080,,0.080,,,,100.00,,100.00,g,,,15.178,,,,,Kepler-47.xml,
Kepler-48,Kepler-48,0.89,0.88,,0.06,,0.06,,,,0.05,,0.05,,3.140,,,,,,,,,,0.170,,0.070,,0.070,5190.0,5194.00,,73.00,,73.00,,,,13.040,,,,,Kepler-48.xml,
Kepler-49,Kepler-49,0.5490,0.55,0.0090,,0.0090,,0.559,0.56,.021,0.02,0.021,0.02,,,,,,,,,,,,-0.151,,,,,,,,,,,,,,15.264,,,,,Kepler-49.xml,
Kepler-50,Kepler-50,,,,0.05,,0.05,,,,0.02,,0.02,,,,0.800,,0.800,,,,,,,,0.060,,0.060,,,,66.00,,66.00,,,10.54,10.421,0.05,,0.05,,Kepler-50.xml,
Kepler-51,Kepler-51,,,,,,,0.88,0.94,0.04,0.50,0.04,0.50,,,,,,,,,,,,-0.079,,,,,,,,,,,,,,14.669,,,,,Kepler-51.xml,
Kepler-52,Kepler-52,0.5770,0.54,0.0140,,0.0140,,0.556,0.56,.021,0.02,0.021,0.02,,,,,,,,,,,,-0.289,,,,,,,,,,,,,,15.095,,,,,Kepler-52.xml,
Kepler-53,Kepler-53,1.0650,0.98,0.0930,,0.0930,,0.958,0.89,.466,,0.466,,,,,,,,,,,,,,,,,,6085,5858.00,200,,200,,,,,15.386,,,,,Kepler-53.xml,
Kepler-54,Kepler-54,0.5140,0.51,0.0330,,0.0330,,0.554,0.55,.021,0.02,0.021,0.02,,,,,,,,,,,,-0.036,,,,,,,,,,,,,,15.847,,,,,Kepler-54.xml,
Kepler-55,Kepler-55,0.6310,0.62,0.0160,,0.0160,,0.619,0.62,.028,0.03,0.028,0.03,,,,,,,,,,,,-0.201,,,,,,,,,,,,,,15.791,,,,,Kepler-55.xml,
Kepler-56,Kepler-56,,,,,,,4.22,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.440,,,,,Kepler-56.xml,
Kepler-57,Kepler-57,,,,,,,,,,,,,,,,,,,,,,,,-0.045,,,,,,,,,,,,,,14.809,,,,,Kepler-57.xml,
Kepler-58,Kepler-58,1.0400,0.95,0.1200,,0.1200,,1.127,1.13,.526,0.53,0.526,0.53,,,,,,,,,,,,-0.120,,,,,,,,,,,,,,14.820,,,,,Kepler-58.xml,
Kepler-59,Kepler-59,,,,,,,,,,,,,,,,,,,,,,,,-0.253,,,,,,,,,,,,,,14.307,,,,,Kepler-59.xml,
Kepler-60,Kepler-60,1.105,1.04,,0.08,,0.08,1.5,1.26,,0.09,,0.09,,,,,,,,,,,,-0.090,,0.100,,0.100,5915.0,5905.00,,144.00,,144.00,,,,13.959,,,,,Kepler-60.xml,
Kepler-62,Kepler-62,,,,0.02,,0.02,0.63,0.64,,0.02,,0.02,,,,4.000,,4.000,,,,,,,,0.040,,0.040,,,,70.00,,70.00,k2v,,13.8,13.725,,,,,Kepler-62.xml,
Kepler-63,Kepler-63,0.984,0.98,,,0.035,0.04,0.901,0.90,0.022,0.02,0.027,0.03,,0.210,,0.045,,0.045,,,,,,,,,,,,,,,,,,,,,0.18,,0.18,,Kepler-63.xml,
Kepler-65,Kepler-65,,,,0.06,,0.06,,,,0.03,,0.03,,,,0.700,,0.700,,,,,,,,0.060,,0.060,,,,66.00,,66.00,f,,10.92,11.018,0.06,,0.06,,Kepler-65.xml,
Kepler-67,Kepler-67,0.865,0.86,0.034,0.03,0.034,0.03,0.778,0.78,0.031,0.03,0.031,0.03,,,,,,,,,,,0.012,-0.200,0.003,0.100,0.003,0.100,,,,,,,g9v,,,,,,,,Kepler-67.xml,
Kepler-68 A,Kepler-68,1.079,1.08,0.051,0.05,0.051,0.05,1.243,1.24,0.019,0.02,0.019,0.02,,,,,,,,,,,,,,,,,,,,,,,g,,9.997,9.990,0.001,0.180,0.001,0.180,Kepler-68.xml,
Kepler-69,Kepler-69,,,,0.08,,0.09,,,,0.12,,0.18,,,,,,,,,,,,,,0.150,,0.150,,,,168.00,,168.00,g4v,,,14.000,,,,,Kepler-69.xml,
Kepler-183,KOI-55,0.9900,0.50,0.0700,0.00,0.0700,0.00,0.958,0.20,.414,0.01,0.414,0.01,,,,,,,,,,,,-0.106,,,,,5888,27730.00,200,270.00,200,270.00,,,,14.870,,0.020,,0.020,Kepler-183.xml,
Kepler-367,KOI-217,0.6770,0.95,0.0180,,0.0180,0.05,0.695,0.86,.037,,0.037,0.02,,,,,,,,,,,,0.220,,,,,4710,5545.00,100,,100,,,,,15.127,,,,,Kepler-367.xml,
Kepler-74,Kepler-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f8v,,,,0.17,,0.17,,Kepler-74.xml,
Kepler-81,Kepler-81,0.6480,0.64,0.0280,0.23,0.0280,0.38,0.595,0.59,.029,0.03,0.029,0.03,,,,,,,,,,,,-0.524,,,,,,,16,116.00,,,,,,15.019,,,,,Kepler-81.xml,
Kepler-82,Kepler-82,0.9220,0.85,0.0830,0.63,0.0830,1.66,0.945,0.94,,,,,,,,,,,,,,,,-0.014,,,,,,,,,,,,,,15.158,,,,,Kepler-82.xml,
Kepler-83,Kepler-83,0.6640,0.66,0.0310,0.25,0.0310,0.41,0.594,0.59,.033,0.03,0.033,0.03,,,,,,,,,,,,-0.195,,,,,,,16,116.00,,,,,,15.777,,,,,Kepler-83.xml,
Kepler-84,Kepler-84,1.0200,1.00,0.1200,0.29,0.1200,0.42,1.169,1.17,.219,0.22,0.219,0.22,,,,,,,,,,,,-0.131,,,,,,,43,143.00,,,,,,14.764,,,,,Kepler-84.xml,
Kepler-85,Kepler-85,0.9410,0.92,0.0650,0.27,0.0650,0.40,0.893,0.89,,,,,,,,,,,,,,,,-0.031,,,,,,,,,,,,,,14.779,,,,,Kepler-85.xml,
Kepler-87,Kepler-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.600,,,,,Kepler-87.xml,
Kepler-296 A,KOI-142,0.498,0.96,0.087,0.05,0.067,0.04,0.480,0.88,0.087,0.04,0.066,0.03,,2.200,,2.000,,2.400,,,,,-0.08,0.200,0.30,0.080,0.28,0.080,3740,5471.00,130,50.00,130,50.00,m2v,,,13.110,,0.160,,0.160,Kepler-296.xml,
Kepler-257,KOI-94,0.7400,1.28,0.1400,0.05,0.1400,0.05,1.037,1.52,.518,0.14,0.518,0.14,,3.160,,0.390,,0.390,,,,,,0.023,,0.002,,0.002,5180,6182.00,200,58.00,200,58.00,,,,12.205,,,,,Kepler-257.xml,
Kepler-90,KOI-351,,,,,,,,,,,,,0.5300,,0.8800,,0.8800,,,,,,,,,,,,,,,,,,,,,13.804,,,,,Kepler-90.xml,
Kepler-91,Kepler-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.495,,,,,Kepler-91.xml,
Kepler-920,Kepler-92,0.89,1.21,0.05,0.08,0.04,0.08,0.85,1.70,,,0.07,0.05,,,,,,,,,,,0.00,,0.19,,0.15,,5403.0,5883.00,59.4,,62.2,,,,,11.565,,,,,Kepler-920.xml,
Kepler-93,Kepler-93,0.911,0.91,0.033,0.03,0.033,0.03,0.919,0.92,0.011,0.01,0.011,0.01,,,,,,,,,,,,,,,,,,,,,,,,,10.00,9.931,0.03,,0.03,,Kepler-93.xml,
Kepler-94,Kepler-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.895,,,,,Kepler-94.xml,
Kepler-95,Kepler-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.346,,,,,Kepler-95.xml,
Kepler-96,Kepler-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.57,10.297,0.04,,0.04,,Kepler-96.xml,
Kepler-97,Kepler-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.872,,,,,Kepler-97.xml,
Kepler-99,Kepler-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.970,,,,,Kepler-99.xml,
Kepler-100,Kepler-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.06,11.197,0.07,,0.07,,Kepler-100.xml,
Kepler-101,Kepler-101,,,,,,,,,,,,,,,,,,,,,,,,0.330,,0.070,,0.070,,,,,,,g3iv,,,,,,,,Kepler-101.xml,
Kepler-102,Kepler-102,0.80,0.81,0.06,0.09,0.06,0.04,0.74,0.76,0.02,0.07,0.02,0.07,,,,,,,,,,,0.08,0.180,0.07,0.470,0.07,0.420,4903,4909.00,74,41.00,74,41.00,,,12.07,11.492,0.19,,0.19,,Kepler-102.xml,
Kepler-103,Kepler-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.88,12.287,0.16,,0.16,,Kepler-103.xml,
Kepler-104,Kepler-104,0.8070,0.81,0.0390,,0.0390,,1.349,1.35,.223,0.22,0.223,0.22,,,,,,,,,,,,-0.777,,,,,,,4,74.00,,,,,,12.596,,,,,Kepler-104.xml,
Kepler-105,Kepler-105,1.1800,0.96,0.0930,0.05,0.0930,0.05,1.160,0.89,0.245,0.04,0.245,0.04,,,,,,,,,,,,-0.190,,0.100,,0.100,5873,5827.00,100,94.00,100,94.00,,,,12.791,,,,,Kepler-105.xml,
Kepler-106,Kepler-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98,12.882,,,,,Kepler-106.xml,
Kepler-107,Kepler-107,1.1830,,0.0390,,0.0390,,1.411,1.41,0.047,0.05,0.047,0.05,,,,,,,,,,,0.27,-0.092,0.10,,0.10,,,,,,,,,,,12.487,,,,,Kepler-107.xml,
Kepler-108,Kepler-108,0.8900,0.87,0.1700,,0.1700,,2.192,2.19,0.121,0.12,0.121,0.12,,,,,,,,,,,,-0.026,,,,,,,2,92.00,,,,,,12.654,,,,,Kepler-108.xml,
Kepler-109,Kepler-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.93,12.365,,,,,Kepler-109.xml,
Kepler-110,Kepler-110,1.0670,,0.0640,,0.0640,,1.149,1.15,.228,0.23,0.228,0.23,,,,,,,,,,,,-0.151,,,,,,,53,153.00,,,,,,12.935,,,,,Kepler-110.xml,
Kepler-111,Kepler-111,1.1710,,0.0300,,0.0300,,1.157,1.16,.143,0.14,0.143,0.14,,,,,,,,,,,,0.005,,,,,,,4,74.00,,,,,,13.492,,,,,Kepler-111.xml,
Kepler-75,Kepler-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k0v,,,15.264,,,,,Kepler-75.xml,
Kepler-76,Kepler-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2v,,,13.308,,,,,Kepler-76.xml,
Kepler-780,Kepler-78,1.01,0.76,0.03,0.05,0.03,0.05,1.02,0.74,0.06,0.04,0.10,0.03,,0.750,,0.150,,0.150,,,,,0.05,-0.180,0.09,0.080,0.09,0.080,5769.0,5058.00,57.1,50.00,62.5,50.00,,,,11.551,,,,,Kepler-780.xml,
Kepler-79,Kepler-79,1.1800,1.17,0.1000,0.04,0.1000,0.04,1.403,1.30,.252,0.03,0.252,0.03,,3.440,,0.910,,0.600,,,,,,-0.073,,0.009,,0.062,6189,6174.00,100,117.00,100,83.00,,,13.99,13.914,,,,,Kepler-79.xml,
Kepler-80,Kepler-80,0.7220,0.73,0.0160,0.03,0.0160,0.03,0.637,0.68,.022,0.02,0.022,0.02,,2.000,,1.000,,1.000,,,,,,0.040,,0.080,,0.080,4613,4540.00,4,100.00,74,100.00,,,,14.804,,,,,Kepler-80.xml,
Kepler-112,Kepler-112,0.9460,,0.0940,,0.0940,,0.841,0.84,.203,0.20,0.203,0.20,,,,,,,,,,,,-0.588,,,,,,,48,148.00,,,,,,13.771,,,,,Kepler-112.xml,
Kepler-113,Kepler-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.461,,,,,Kepler-113.xml,
Kepler-114,Kepler-114,0.7090,0.56,0.0230,0.06,0.0230,0.06,0.667,0.67,.035,0.04,0.035,0.04,,,,,,,,,,,,-0.003,,,,,,,,,,,,,,13.738,,,,,Kepler-114.xml,
4 UMa,4 UMa,1.234,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k1iii,,5.787,4.610,0.005,,0.005,,4 UMa.xml,
7 CMa,7 CMa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k1iii,,3.96,3.920,,,,,7 CMa.xml,
11 Com,11 Com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g8iii,,,,,,,,11 Com.xml,
11 UMi,11 UMi,,,,,,,,,,,,,,1.560,,0.540,,0.540,,,,,,,,,,,,,,,,,k4iii,,5.024,5.016,,0.009,,0.009,11 UMi.xml,
14 And,14 And,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k0iii,,5.22,,,,,,14 And.xml,
14 Her,14 Her,1.0,0.90,,0.05,,0.05,0.708,,,,,,,,,,,,,,,,,,,0.080,,0.080,,,,87.00,,87.00,k0v,,6.67,6.610,,0.020,,0.020,14 Her.xml,
16 Cygni B,16 Cyg B,1.07,0.99,0.02,,0.02,,1.127,,0.007,,0.007,,6.8,,0.4,,0.4,,,,,,0.052,0.038,0.021,,0.021,,5750,5674.00,50,,50,,g2v,,6.20,6.250,,,,,16 Cygni.xml,
18 Del,18 Del,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g6iii,,5.522,,,,,,18 Del.xml,
24 Sex,24 Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g5,,7.38,6.441,,0.010,,0.010,24 Sex.xml,
42 Dra,42 Dra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k1.5iii,,4.833,4.820,,,,,42 Dra.xml,
47 UMa,47 UMa,1.063,1.03,0.022,0.05,0.029,0.05,1.24,1.23,0.04,,0.04,,6.48,7.300,1.04,1.900,1.44,1.900,,,,,-0.019,0.000,,0.070,,0.070,5818.7,5892.00,,70.00,,70.00,g0v,,5.04,5.050,,,,,47 UMa.xml,
55 Cancri A,55 Cnc,0.960,0.91,0.067,0.01,0.067,0.01,0.960,0.94,0.018,0.01,0.018,0.01,,10.200,,2.500,,2.500,,,,,0.3,0.310,0.1,0.040,0.1,0.040,5219,5196.00,26,24.00,26,24.00,k0v,,5.95,5.960,0.05,0.010,0.05,0.010,55 Cancri.xml,
61 Vir,61 Vir,0.95,0.94,,,0.04,0.03,0.963,0.96,0.011,0.01,0.011,0.01,6.3,8.960,3.1,3.080,3.3,2.760,,,,,0.05,-0.010,,,,,5571,5577.00,,33.00,,33.00,g5v,,,,0.009,,0.009,,61 Vir.xml,
70 Vir,70 Vir,,,0.002,0.02,0.002,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g4v,,4.970,4.980,0.009,,0.009,,70 Vir.xml,
81 Cet,81 Cet,,,,0.40,,0.10,,,,1.00,,2.00,,,,,,,,,,,,,,0.030,,0.030,4790.0,4785.00,,25.00,,25.00,g5iii,,,,,,,,81 Cet.xml,
91 Aquarii A,91 Aqr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k0iii,,4.24,4.250,,,,,91 Aquarii.xml,
DH Tau,DH Tau,0.4,0.33,,,,,,0.27,,0.07,,0.07,,0.001,,,,,,,,,,,,,,,3840.0,,,,,,m0.5v,,13.71,,,,,,DH Tau.xml,
DP Leo,DP Leo,0.6,0.69,,,,,0.0144,,,,,,,,,,,,,,,,,,,,,,13500,,,,,,amher,,17.5,,,,,,DP Leo.xml,
GU Psc,GU Psc,0.325,0.33,0.25,0.03,0.25,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m3,,,,,,,,GU Psc.xml,
HN Peg,HN Peg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5940.0,,,,,,g0v,,6,5.950,,0.020,,0.020,HN Peg.xml,
NN Ser A,NN Ser,0.535,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dao1,,16.6,,,,,,NN Ser.xml,
NY Virginis A,NY Vir,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,33000,,,,,,sdb,,13.3,,,,,,NY Virginis.xml,
RR Cae A,RR Cae,0.622,0.44,,,,,0.015,,,,,,,,,,,,,,,,,,,,,,7540,,,,,,daz8+dm,,14.4,,,,,,RR Cae.xml,
