Primary system name,All system names,Right ascension,Declination,Distance [parsec],Distance errorminus,Distance errorplus,source (xml)
Kepler-1296,kepler-1296,19 28 30,+41 24 28,,,,Kepler-1296.xml
Kepler-1297,kepler-1297,19 19 50,+47 01 13,,,,Kepler-1297.xml
Kepler-1298,kepler-1298,18 57 41,+49 06 22,,,,Kepler-1298.xml
Kepler-1299,kepler-1299,19 04 36,+37 24 41,,,,Kepler-1299.xml
Kepler-13,kepler-13,19 07 53.1072,+46 52 05.953,530,106,106,Kepler-13.xml
Kepler-130,kepler-130|koi-282|kic5088536,19 13 48,+40 14 43,266.39,,,Kepler-130.xml
Kepler-1300,kepler-1300,19 16 08,+40 05 13,,,,Kepler-1300.xml
Kepler-1301,kepler-1301,19 06 25,+42 26 25,,,,Kepler-1301.xml
Kepler-1302,kepler-1302,19 23 57,+50 18 29,,,,Kepler-1302.xml
Kepler-1303,kepler-1303,18 57 09,+42 21 20,,,,Kepler-1303.xml
Kepler-1304,kepler-1304,19 01 06,+39 26 49,,,,Kepler-1304.xml
Kepler-1305,kepler-1305,19 49 21,+46 20 50,,,,Kepler-1305.xml
Kepler-1306,kepler-1306,19 37 55,+46 56 45,,,,Kepler-1306.xml
Kepler-1307,kepler-1307,19 31 29,+46 44 31,,,,Kepler-1307.xml
Kepler-1308,kepler-1308,19 03 43,+38 31 15,,,,Kepler-1308.xml
Kepler-1309,kepler-1309,19 54 56,+40 45 51,,,,Kepler-1309.xml
Kepler-131,kepler-131|koi-283|kic5695396,19 14 07,+40 56 32,226.3,,,Kepler-131.xml
Kepler-1310,kepler-1310,18 55 41,+40 44 24,,,,Kepler-1310.xml
Kepler-1311,kepler-1311,19 18 36,+43 49 28,,,,Kepler-1311.xml
Kepler-1312,kepler-1312,19 31 53,+41 02 09,,,,Kepler-1312.xml
Kepler-1313,kepler-1313,19 29 33,+42 13 60,,,,Kepler-1313.xml
Kepler-1314,kepler-1314,19 36 57,+45 11 50,,,,Kepler-1314.xml
Kepler-1315,kepler-1315,19 43 17,+46 03 11,,,,Kepler-1315.xml
Kepler-1316,kepler-1316,19 55 21,+40 17 35,,,,Kepler-1316.xml
Kepler-1317,kepler-1317,19 26 27,+42 06 57,,,,Kepler-1317.xml
Kepler-1318,kepler-1318,19 21 30,+41 09 03,,,,Kepler-1318.xml
Kepler-1319,kepler-1319,19 23 49,+49 21 59,,,,Kepler-1319.xml
Kepler-132,kepler-132|koi-284|kic6021275,18 52 56,+41 20 34,331.08,,,Kepler-132.xml
Kepler-1320,kepler-1320,19 13 44,+40 22 51,,,,Kepler-1320.xml
Kepler-1321,kepler-1321,19 38 07,+46 38 27,,,,Kepler-1321.xml
Kepler-1322,kepler-1322,19 32 49,+45 26 07,,,,Kepler-1322.xml
Kepler-1323,kepler-1323,19 31 29,+46 05 56,,,,Kepler-1323.xml
Kepler-1324,kepler-1324,19 24 44,+40 18 40,,,,Kepler-1324.xml
Kepler-1325,kepler-1325,19 00 04,+42 05 07,,,,Kepler-1325.xml
Kepler-1326,kepler-1326,19 44 53,+39 16 08,,,,Kepler-1326.xml
Kepler-1327,kepler-1327,19 16 16,+50 27 40,,,,Kepler-1327.xml
Kepler-1328,kepler-1328,18 58 42,+44 25 04,,,,Kepler-1328.xml
Kepler-1329,kepler-1329,18 46 35,+48 16 16,,,,Kepler-1329.xml
Kepler-133,kepler-133|koi-291|kic10933561,19 49 06,+48 19 13,587.59,,,Kepler-133.xml
Kepler-1330,kepler-1330,19 22 18,+39 57 25,,,,Kepler-1330.xml
Kepler-1331,kepler-1331,19 48 18,+41 13 28,,,,Kepler-1331.xml
Kepler-1332,kepler-1332,19 24 07,+43 54 49,,,,Kepler-1332.xml
Kepler-1333,kepler-1333,19 34 07,+41 06 41,,,,Kepler-1333.xml
Kepler-1334,kepler-1334,19 17 15,+51 19 15,,,,Kepler-1334.xml
Kepler-1335,kepler-1335,18 59 21,+42 04 14,,,,Kepler-1335.xml
Kepler-1336,kepler-1336,19 45 07,+46 53 59,,,,Kepler-1336.xml
Kepler-1337,kepler-1337,19 08 02,+46 47 46,,,,Kepler-1337.xml
Kepler-1338,kepler-1338,18 56 10,+41 41 57,,,,Kepler-1338.xml
Kepler-1339,kepler-1339,18 54 59,+48 22 24,,,,Kepler-1339.xml
Kepler-134,kepler-134|koi-295|kic11547513,18 58 57,+49 35 54,414.47,,,Kepler-134.xml
Kepler-1340,kepler-1340,19 44 56,+42 28 22,,,,Kepler-1340.xml
Kepler-1341,kepler-1341,18 42 03,+44 09 34,,,,Kepler-1341.xml
Kepler-1342,kepler-1342,19 48 05,+43 25 57,,,,Kepler-1342.xml
Kepler-1343,kepler-1343,19 37 11,+50 43 31,,,,Kepler-1343.xml
Kepler-1344,kepler-1344,19 08 21,+46 56 45,,,,Kepler-1344.xml
Kepler-1345,kepler-1345,19 29 55,+46 01 22,,,,Kepler-1345.xml
Kepler-1346,kepler-1346,19 27 22,+45 10 45,,,,Kepler-1346.xml
Kepler-1347,kepler-1347,19 58 38,+40 50 38,,,,Kepler-1347.xml
Kepler-1348,kepler-1348,19 28 21,+49 47 20,,,,Kepler-1348.xml
Kepler-1349,kepler-1349,19 05 21,+48 44 39,,,,Kepler-1349.xml
Kepler-135,kepler-135|koi-301|kic3642289,19 21 58,+38 47 43,561.29,,,Kepler-135.xml
Kepler-1350,kepler-1350,19 13 00,+46 40 47,,,,Kepler-1350.xml
Kepler-1351,kepler-1351,19 34 26,+42 11 52,,,,Kepler-1351.xml
Kepler-1352,kepler-1352,19 22 46,+48 42 05,,,,Kepler-1352.xml
Kepler-1353,kepler-1353,19 42 56,+42 34 35,,,,Kepler-1353.xml
Kepler-1354,kepler-1354,19 24 59,+37 45 33,,,,Kepler-1354.xml
Kepler-1355,kepler-1355,18 54 58,+49 04 05,,,,Kepler-1355.xml
Kepler-1356,kepler-1356,19 23 59,+43 14 38,,,,Kepler-1356.xml
Kepler-1357,kepler-1357,19 26 12,+50 21 12,,,,Kepler-1357.xml
Kepler-1358,kepler-1358,19 04 41,+43 00 32,,,,Kepler-1358.xml
Kepler-1359,kepler-1359,19 18 09,+41 53 34,,,,Kepler-1359.xml
Kepler-136,kepler-136|koi-312|kic7050989,19 45 52.158,+42 35 55.73,539.57,,,Kepler-136.xml
Kepler-1360,kepler-1360,20 01 23,+45 37 24,,,,Kepler-1360.xml
Kepler-1361,kepler-1361,18 54 16,+46 54 15,,,,Kepler-1361.xml
Kepler-1362,kepler-1362,19 14 09,+40 52 38,,,,Kepler-1362.xml
Kepler-1363,kepler-1363,19 47 59,+49 15 23,,,,Kepler-1363.xml
Kepler-1364,kepler-1364,19 40 37,+49 35 15,,,,Kepler-1364.xml
Kepler-1365,kepler-1365,19 28 48,+42 02 46,,,,Kepler-1365.xml
Kepler-1366,kepler-1366,19 00 16,+41 33 18,,,,Kepler-1366.xml
Kepler-1367,kepler-1367,19 13 40,+47 52 43,,,,Kepler-1367.xml
Kepler-1368,kepler-1368,19 39 04,+41 38 41,,,,Kepler-1368.xml
Kepler-1369,kepler-1369,19 03 11,+40 56 10,,,,Kepler-1369.xml
Kepler-137,kepler-137|koi-313|kic7419318,18 48 32,+43 02 20,288.70,,,Kepler-137.xml
Kepler-1370,kepler-1370,18 58 16,+41 46 43,,,,Kepler-1370.xml
Kepler-1371,kepler-1371,19 15 20,+47 33 07,,,,Kepler-1371.xml
Kepler-1372,kepler-1372,19 15 33,+44 50 22,,,,Kepler-1372.xml
Kepler-1373,kepler-1373,19 03 00,+39 14 57,,,,Kepler-1373.xml
Kepler-1374,kepler-1374,19 25 24,+45 10 20,,,,Kepler-1374.xml
Kepler-1375,kepler-1375,19 45 10,+43 24 12,,,,Kepler-1375.xml
Kepler-1376,kepler-1376,19 07 50,+42 32 29,,,,Kepler-1376.xml
Kepler-1377,kepler-1377,19 16 47,+46 39 06,,,,Kepler-1377.xml
Kepler-1378,kepler-1378,19 49 30,+40 21 59,,,,Kepler-1378.xml
Kepler-1379,kepler-1379,19 34 41,+41 24 37,,,,Kepler-1379.xml
Kepler-1380,kepler-1380,19 12 28,+42 26 26,,,,Kepler-1380.xml
Kepler-1381,kepler-1381,19 10 09,+48 43 40,,,,Kepler-1381.xml
Kepler-1382,kepler-1382,19 41 31,+39 02 53,,,,Kepler-1382.xml
Kepler-1383,kepler-1383,19 51 47,+42 11 31,,,,Kepler-1383.xml
Kepler-1384,kepler-1384,19 44 52,+39 31 37,,,,Kepler-1384.xml
Kepler-1385,kepler-1385,18 50 32,+46 28 52,,,,Kepler-1385.xml
Kepler-1386,kepler-1386,18 43 18,+42 38 10,,,,Kepler-1386.xml
Kepler-1387,kepler-1387,19 29 46,+43 12 34,,,,Kepler-1387.xml
Kepler-1388,kepler-1388,18 53 21,+47 10 28,,,,Kepler-1388.xml
Kepler-1389,kepler-1389,19 02 52,+44 45 30,,,,Kepler-1389.xml
Kepler-139,kepler-139|koi-316|kic8008067,18 49 34,+43 53 21,476.47,,,Kepler-139.xml
Kepler-1390,kepler-1390,19 54 39,+48 14 56,,,,Kepler-1390.xml
Kepler-1391,kepler-1391,19 39 19,+46 39 35,,,,Kepler-1391.xml
Kepler-1392,kepler-1392,19 15 04,+46 23 40,,,,Kepler-1392.xml
Kepler-1393,kepler-1393,18 57 50,+40 08 33,,,,Kepler-1393.xml
Kepler-1394,kepler-1394,18 53 49,+45 05 03,,,,Kepler-1394.xml
Kepler-1395,kepler-1395,19 29 21,+47 39 51,,,,Kepler-1395.xml
Kepler-1396,kepler-1396,19 37 21,+44 55 06,,,,Kepler-1396.xml
Kepler-1397,kepler-1397,19 58 42,+47 04 33,,,,Kepler-1397.xml
Kepler-1398,kepler-1398,19 39 28,+48 38 20,,,,Kepler-1398.xml
Kepler-1399,kepler-1399,19 33 15,+46 02 30,,,,Kepler-1399.xml
Kepler-14,kepler-14,19 10 50,+47 19 59,980,,,Kepler-14.xml
Kepler-140,kepler-140|koi-327|kic9881662,19 09 28,+46 46 05,638.17,,,Kepler-140.xml
Kepler-1400,kepler-1400,19 05 05,+45 26 27,,,,Kepler-1400.xml
Kepler-1401,kepler-1401,19 09 52,+40 45 30,,,,Kepler-1401.xml
Kepler-1402,kepler-1402,19 27 23,+48 58 05,,,,Kepler-1402.xml
Kepler-1403,kepler-1403,19 23 28,+38 57 36,,,,Kepler-1403.xml
Kepler-1404,kepler-1404,19 44 02,+50 29 54,,,,Kepler-1404.xml
Kepler-1405,kepler-1405,19 42 44,+39 15 22,,,,Kepler-1405.xml
Kepler-1406,kepler-1406,19 28 20,+38 54 54,,,,Kepler-1406.xml
Kepler-1407,kepler-1407,18 55 46,+41 28 18,,,,Kepler-1407.xml
Kepler-1408,kepler-1408,18 50 48,+45 25 33,,,,Kepler-1408.xml
Kepler-1409,kepler-1409,19 20 20,+51 12 31,,,,Kepler-1409.xml
Kepler-141,kepler-141|koi-338|kic10552611,19 51 53,+47 43 54,313.46,,,Kepler-141.xml
Kepler-1410,kepler-1410,19 22 02,+38 44 37,,,,Kepler-1410.xml
Kepler-1411,kepler-1411,19 05 27,+42 57 50,,,,Kepler-1411.xml
Kepler-1412,kepler-1412,19 28 43,+49 12 09,,,,Kepler-1412.xml
Kepler-1413,kepler-1413,19 37 22,+46 29 56,,,,Kepler-1413.xml
Kepler-1414,kepler-1414,18 59 43,+42 25 20,,,,Kepler-1414.xml
Kepler-1415,kepler-1415,19 00 38,+47 52 24,,,,Kepler-1415.xml
Kepler-1416,kepler-1416,19 54 39,+43 53 39,,,,Kepler-1416.xml
Kepler-1417,kepler-1417,19 23 48,+40 36 19,,,,Kepler-1417.xml
Kepler-1418,kepler-1418,18 51 59,+41 40 43,,,,Kepler-1418.xml
Kepler-1419,kepler-1419,19 29 01,+37 58 17,,,,Kepler-1419.xml
Kepler-142,kepler-142|koi-343|kic10982872,19 40 28,+48 28 52,627.86,,,Kepler-142.xml
Kepler-1420,kepler-1420,19 44 49,+42 46 40,,,,Kepler-1420.xml
Kepler-1421,kepler-1421,19 06 19,+48 32 39,,,,Kepler-1421.xml
Kepler-1422,kepler-1422,19 35 34,+48 20 10,,,,Kepler-1422.xml
Kepler-1423,kepler-1423,19 12 59,+41 06 36,,,,Kepler-1423.xml
Kepler-1424,kepler-1424,19 23 58,+40 13 46,,,,Kepler-1424.xml
Kepler-1425,kepler-1425,19 39 48,+43 00 45,,,,Kepler-1425.xml
Kepler-1426,kepler-1426,19 30 11,+49 25 01,,,,Kepler-1426.xml
Kepler-1427,kepler-1427,19 41 24,+45 06 52,,,,Kepler-1427.xml
Kepler-1428,kepler-1428,19 50 34,+49 35 42,,,,Kepler-1428.xml
Kepler-1429,kepler-1429,19 01 28,+49 02 42,,,,Kepler-1429.xml
Kepler-143,kepler-143|koi-352|kic11521793,19 52 16,+49 24 45,890.59,,,Kepler-143.xml
Kepler-1430,kepler-1430,19 18 47,+43 22 20,,,,Kepler-1430.xml
Kepler-1431,kepler-1431,19 30 38,+49 51 55,,,,Kepler-1431.xml
Kepler-1432,kepler-1432,19 42 06,+49 49 46,,,,Kepler-1432.xml
Kepler-1433,kepler-1433,19 09 27,+49 27 25,,,,Kepler-1433.xml
Kepler-1434,kepler-1434,19 42 09,+51 12 11,,,,Kepler-1434.xml
Kepler-1435,kepler-1435,19 24 42,+44 55 16,,,,Kepler-1435.xml
Kepler-1436,kepler-1436,19 50 51,+46 46 05,,,,Kepler-1436.xml
Kepler-1437,kepler-1437,19 27 28,+49 19 33,,,,Kepler-1437.xml
Kepler-1438,kepler-1438,19 17 10,+40 40 54,,,,Kepler-1438.xml
Kepler-1439,kepler-1439,19 02 58,+40 58 48,,,,Kepler-1439.xml
Kepler-144,kepler-144|koi-369|kic7175184,18 47 39,+42 46 31,385.13,,,Kepler-144.xml
Kepler-1440,kepler-1440,19 01 23,+48 18 44,,,,Kepler-1440.xml
Kepler-1441,kepler-1441,19 34 53,+43 07 29,,,,Kepler-1441.xml
Kepler-1442,kepler-1442,19 25 01,+48 50 49,,,,Kepler-1442.xml
Kepler-1443,kepler-1443,18 53 45,+47 04 01,,,,Kepler-1443.xml
Kepler-1444,kepler-1444,19 01 19,+42 02 26,,,,Kepler-1444.xml
Kepler-1445,kepler-1445,18 40 59.9,+43 54 54,,,,Kepler-1445.xml
Kepler-1446,kepler-1446,19 17 42,+46 43 34,,,,Kepler-1446.xml
Kepler-1447,kepler-1447,19 18 34,+50 43 38,,,,Kepler-1447.xml
Kepler-1448,kepler-1448,19 11 28,+50 35 44,,,,Kepler-1448.xml
Kepler-1449,kepler-1449,19 12 56,+50 34 04,,,,Kepler-1449.xml
Kepler-1450,kepler-1450,19 38 13,+45 04 53,,,,Kepler-1450.xml
Kepler-1451,kepler-1451,19 33 47,+40 24 36,,,,Kepler-1451.xml
Kepler-1452,kepler-1452,19 29 41,+38 15 59,,,,Kepler-1452.xml
Kepler-1453,kepler-1453,19 04 30,+47 56 51,,,,Kepler-1453.xml
Kepler-1454,kepler-1454,18 56 54,+48 49 54,,,,Kepler-1454.xml
Kepler-1455,kepler-1455,19 36 20,+50 30 10,,,,Kepler-1455.xml
Kepler-1456,kepler-1456,19 07 47,+43 49 22,,,,Kepler-1456.xml
Kepler-1457,kepler-1457,18 55 05,+42 01 38,,,,Kepler-1457.xml
Kepler-1458,kepler-1458,18 52 51,+41 02 17,,,,Kepler-1458.xml
Kepler-1459,kepler-1459,18 49 42,+46 00 50,,,,Kepler-1459.xml
Kepler-146,kepler-146|koi-386|kic3656121,19 36 26,+38 42 36,844.99,,,Kepler-146.xml
Kepler-1460,kepler-1460,19 02 14,+44 00 39,,,,Kepler-1460.xml
Kepler-1461,kepler-1461,19 03 19,+43 11 54,,,,Kepler-1461.xml
Kepler-1462,kepler-1462,19 45 35,+42 23 49,,,,Kepler-1462.xml
Kepler-1463,kepler-1463,19 37 57,+42 00 25,,,,Kepler-1463.xml
Kepler-1464,kepler-1464,19 08 57,+38 45 15,,,,Kepler-1464.xml
Kepler-1465,kepler-1465,19 19 17,+51 54 17,,,,Kepler-1465.xml
Kepler-1466,kepler-1466,19 19 19,+44 36 36,,,,Kepler-1466.xml
Kepler-1467,kepler-1467,19 40 12,+45 20 34,,,,Kepler-1467.xml
Kepler-1468,kepler-1468,19 34 05,+41 16 39,,,,Kepler-1468.xml
Kepler-1469,kepler-1469,19 35 17,+39 23 29,,,,Kepler-1469.xml
Kepler-147,kepler-147|koi-392|kic3942670,19 11 54,+39 05 13,1106.65,,,Kepler-147.xml
Kepler-1470,kepler-1470,19 14 47,+39 52 59,,,,Kepler-1470.xml
Kepler-1471,kepler-1471,19 18 40,+50 01 12,,,,Kepler-1471.xml
Kepler-1472,kepler-1472,19 39 25,+49 03 27,,,,Kepler-1472.xml
Kepler-1473,kepler-1473,19 22 33,+48 59 46,,,,Kepler-1473.xml
Kepler-1474,kepler-1474,19 38 47,+45 52 01,,,,Kepler-1474.xml
Kepler-1475,kepler-1475,19 43 48,+44 45 11,,,,Kepler-1475.xml
Kepler-1476,kepler-1476,18 58 08,+43 59 24,,,,Kepler-1476.xml
Kepler-1477,kepler-1477,18 45 12,+42 41 09,,,,Kepler-1477.xml
Kepler-1478,kepler-1478,19 32 40,+41 44 46,,,,Kepler-1478.xml
Kepler-1479,kepler-1479,19 02 51,+49 42 24,,,,Kepler-1479.xml
Kepler-148,kepler-148|koi-398|kic9946525,19 19 08,+46 51 31,934.81,,,Kepler-148.xml
Kepler-1480,kepler-1480,19 27 59.9,+49 18 07,,,,Kepler-1480.xml
Kepler-1481,kepler-1481,19 17 45,+49 43 52,,,,Kepler-1481.xml
Kepler-1482,kepler-1482,19 01 15,+48 43 31,,,,Kepler-1482.xml
Kepler-1483,kepler-1483,19 41 38,+42 09 03,,,,Kepler-1483.xml
Kepler-1484,kepler-1484,19 30 44,+38 07 35,,,,Kepler-1484.xml
Kepler-1485,kepler-1485,19 52 23,+44 44 13,,,,Kepler-1485.xml
Kepler-1486,kepler-1486,19 22 22,+45 26 23,,,,Kepler-1486.xml
Kepler-1487,kepler-1487,19 41 59.6,+38 38 40,,,,Kepler-1487.xml
Kepler-1488,kepler-1488,19 06 35,+49 56 16,,,,Kepler-1488.xml
Kepler-1489,kepler-1489,18 45 11,+44 27 55,,,,Kepler-1489.xml
Kepler-149,kepler-149|koi-401|kic3217264,19 03 24,+38 23 02,588.12,,,Kepler-149.xml
Kepler-1490,kepler-1490,19 42 46,+42 36 34,,,,Kepler-1490.xml
Kepler-1491,kepler-1491,19 34 31,+45 44 26,,,,Kepler-1491.xml
Kepler-1492,kepler-1492,19 14 23,+41 02 11,,,,Kepler-1492.xml
Kepler-1493,kepler-1493,19 14 12,+38 33 55,,,,Kepler-1493.xml
Kepler-1494,kepler-1494,18 50 38,+43 09 45,,,,Kepler-1494.xml
Kepler-1495,kepler-1495,19 04 31,+38 46 47,,,,Kepler-1495.xml
Kepler-1496,kepler-1496,19 35 54,+45 21 03,,,,Kepler-1496.xml
Kepler-1497,kepler-1497,19 44 47,+45 38 04,,,,Kepler-1497.xml
Kepler-1498,kepler-1498,18 59 07,+44 55 00,,,,Kepler-1498.xml
Kepler-1499,kepler-1499,18 55 57,+41 39 01,,,,Kepler-1499.xml
Kepler-15,kepler-15,19 44 48.14,+49 08 24.43,,,,Kepler-15.xml
Kepler-150,kepler-150|koi-408|kic5351250,19 12 56,+40 31 15,973.33,,,Kepler-150.xml
Kepler-1500,kepler-1500,19 15 32,+39 44 40,,,,Kepler-1500.xml
Kepler-1501,kepler-1501,19 19 40,+42 00 05,,,,Kepler-1501.xml
Kepler-1502,kepler-1502,19 44 26,+39 19 12,,,,Kepler-1502.xml
Kepler-1503,kepler-1503,19 34 55,+42 48 24,,,,Kepler-1503.xml
Kepler-1504,kepler-1504,19 18 51,+50 07 42,,,,Kepler-1504.xml
Kepler-1505,kepler-1505,19 28 00,+41 47 13,,,,Kepler-1505.xml
Kepler-1506,kepler-1506,19 20 36,+41 27 53,,,,Kepler-1506.xml
Kepler-1507,kepler-1507,19 14 15,+46 32 10,,,,Kepler-1507.xml
Kepler-1508,kepler-1508,19 52 29,+40 22 30,,,,Kepler-1508.xml
Kepler-1509,kepler-1509,18 55 11,+46 55 52,,,,Kepler-1509.xml
Kepler-151,kepler-151|koi-413|kic5791986,19 28 39,+41 01 23,751.12,,,Kepler-151.xml
Kepler-1510,kepler-1510,19 55 50,+48 15 28,,,,Kepler-1510.xml
Kepler-1511,kepler-1511,19 13 41,+43 10 47,,,,Kepler-1511.xml
Kepler-1512,kepler-1512,19 17 06,+44 28 13,,,,Kepler-1512.xml
Kepler-1513,kepler-1513,19 19 10,+39 17 07,,,,Kepler-1513.xml
Kepler-1514,kepler-1514,19 30 31,+37 51 36,,,,Kepler-1514.xml
Kepler-1515,kepler-1515,19 23 54,+48 10 41,,,,Kepler-1515.xml
Kepler-1516,kepler-1516,19 25 59,+44 31 25,,,,Kepler-1516.xml
Kepler-1517,kepler-1517,19 11 14,+43 11 20,,,,Kepler-1517.xml
Kepler-1518,kepler-1518,20 01 20,+44 59 10,,,,Kepler-1518.xml
Kepler-1519,kepler-1519,19 46 40,+49 27 43,,,,Kepler-1519.xml
Kepler-152,kepler-152|koi-416|kic6508221,19 07 27,+41 59 20,456.33,,,Kepler-152.xml
Kepler-1520,kepler-1520,19 23 52,+51 30 17,,,,Kepler-1520.xml
Kepler-1521,kepler-1521,19 30 46,+37 50 06,,,,Kepler-1521.xml
Kepler-1522,kepler-1522,19 19 22,+52 04 13,,,,Kepler-1522.xml
Kepler-1523,kepler-1523,19 44 13,+45 49 37,,,,Kepler-1523.xml
Kepler-1524,kepler-1524,19 35 32,+39 31 11,,,,Kepler-1524.xml
Kepler-1525,kepler-1525,19 22 14,+49 56 35,,,,Kepler-1525.xml
Kepler-1526,kepler-1526,19 00 29,+38 51 59,,,,Kepler-1526.xml
Kepler-1527,kepler-1527,19 49 39,+46 03 39,,,,Kepler-1527.xml
Kepler-1528,kepler-1528,19 09 37,+46 34 26,,,,Kepler-1528.xml
Kepler-1529,kepler-1529,19 19 29,+41 02 27,,,,Kepler-1529.xml
Kepler-153,kepler-153|koi-431|kic10843590,18 49 50,+48 15 25,626.10,,,Kepler-153.xml
Kepler-1530,kepler-1530,19 12 39,+48 09 55,,,,Kepler-1530.xml
Kepler-1531,kepler-1531,19 00 35,+39 22 15,,,,Kepler-1531.xml
Kepler-1532,kepler-1532,19 47 37,+41 11 53,,,,Kepler-1532.xml
Kepler-1533,kepler-1533,19 43 54,+44 42 48,,,,Kepler-1533.xml
Kepler-1534,kepler-1534,19 29 35,+43 52 09,,,,Kepler-1534.xml
Kepler-1535,kepler-1535,19 06 27,+38 53 31,,,,Kepler-1535.xml
Kepler-1536,kepler-1536,19 26 20,+45 42 57,,,,Kepler-1536.xml
Kepler-1537,kepler-1537,19 37 32,+43 49 32,,,,Kepler-1537.xml
Kepler-1538,kepler-1538,18 53 23,+45 16 28,,,,Kepler-1538.xml
Kepler-1539,kepler-1539,18 56 53,+44 16 07,,,,Kepler-1539.xml
Kepler-154,kepler-154|koi-435|kic11709124,19 19 07,+49 53 47,882.88,,,Kepler-154.xml
Kepler-1540,kepler-1540,18 53 23,+41 12 06,,,,Kepler-1540.xml
Kepler-1541,kepler-1541,18 55 09,+48 01 46,,,,Kepler-1541.xml
Kepler-1542,kepler-1542,19 02 55,+42 39 16,,,,Kepler-1542.xml
Kepler-1543,kepler-1543,19 48 30,+47 02 13,,,,Kepler-1543.xml
Kepler-1544,kepler-1544,19 49 08,+49 12 45,,,,Kepler-1544.xml
Kepler-1545,kepler-1545,19 55 36,+47 27 47,,,,Kepler-1545.xml
Kepler-1546,kepler-1546,19 50 20,+41 32 28,,,,Kepler-1546.xml
Kepler-1547,kepler-1547,18 55 03,+42 13 20,,,,Kepler-1547.xml
Kepler-1548,kepler-1548,19 09 53,+46 04 50,,,,Kepler-1548.xml
Kepler-1549,kepler-1549,19 04 13,+39 05 46,,,,Kepler-1549.xml
Kepler-155,kepler-155|koi-438|kic12302530,19 13 59,+51 04 54,302.28,,,Kepler-155.xml
Kepler-1550,kepler-1550,19 11 03,+38 17 41,,,,Kepler-1550.xml
Kepler-1551,kepler-1551,19 43 09,+39 54 29,,,,Kepler-1551.xml
Kepler-1552,kepler-1552,19 26 42,+38 52 30,,,,Kepler-1552.xml
Kepler-1553,kepler-1553,19 27 41,+39 01 20,,,,Kepler-1553.xml
Kepler-1554,kepler-1554,19 06 18,+41 44 29,,,,Kepler-1554.xml
Kepler-1555,kepler-1555,19 10 33,+45 42 58,,,,Kepler-1555.xml
Kepler-1556,kepler-1556,19 13 35,+40 12 48,,,,Kepler-1556.xml
Kepler-1557,kepler-1557,19 35 32,+46 50 20,,,,Kepler-1557.xml
Kepler-1558,kepler-1558,19 07 17,+46 54 42,,,,Kepler-1558.xml
Kepler-1559,kepler-1559,19 29 09,+42 04 21,,,,Kepler-1559.xml
Kepler-156,kepler-156|koi-440|kic2438264,19 21 11,+37 44 58,482.88,,,Kepler-156.xml
Kepler-1560,kepler-1560,19 31 08,+43 12 58,,,,Kepler-1560.xml
Kepler-1561,kepler-1561,19 47 42,+43 33 59,,,,Kepler-1561.xml
Kepler-1562,kepler-1562,19 37 49,+46 44 37,,,,Kepler-1562.xml
Kepler-1563,kepler-1563,19 14 18,+51 28 22,,,,Kepler-1563.xml
Kepler-1564,kepler-1564,19 22 21,+46 38 34,,,,Kepler-1564.xml
Kepler-1565,kepler-1565,19 51 49,+40 48 25,,,,Kepler-1565.xml
Kepler-1566,kepler-1566,18 54 21,+40 34 30,,,,Kepler-1566.xml
Kepler-1567,kepler-1567,19 06 47,+40 17 31,,,,Kepler-1567.xml
Kepler-1568,kepler-1568,19 16 44,+47 52 24,,,,Kepler-1568.xml
Kepler-1569,kepler-1569,19 28 49,+37 13 16,,,,Kepler-1569.xml
Kepler-157,kepler-157|koi-442|kic3745690,19 24 23,+38 52 32,742.16,,,Kepler-157.xml
Kepler-1570,kepler-1570,19 59 27,+45 49 38,,,,Kepler-1570.xml
Kepler-1571,kepler-1571,20 03 44,+45 35 48,,,,Kepler-1571.xml
Kepler-1572,kepler-1572,18 47 35,+46 43 21,,,,Kepler-1572.xml
Kepler-1573,kepler-1573,19 31 57,+49 29 06,,,,Kepler-1573.xml
Kepler-1574,kepler-1574,19 28 38,+49 38 16,,,,Kepler-1574.xml
Kepler-1575,kepler-1575,19 34 58,+45 45 42,,,,Kepler-1575.xml
Kepler-1576,kepler-1576,19 16 18,+40 21 58,,,,Kepler-1576.xml
Kepler-1577,kepler-1577,19 31 49,+47 34 23,,,,Kepler-1577.xml
Kepler-1578,kepler-1578,19 13 12,+47 46 32,,,,Kepler-1578.xml
Kepler-1579,kepler-1579,19 33 09,+43 30 54,,,,Kepler-1579.xml
Kepler-158,kepler-158|koi-446|kic4633570,18 56 07,+39 46 52,345.84,,,Kepler-158.xml
Kepler-1580,kepler-1580,19 03 52,+41 21 49,,,,Kepler-1580.xml
Kepler-1581,kepler-1581,19 09 29,+39 36 13,,,,Kepler-1581.xml
Kepler-1582,kepler-1582,19 17 30,+41 09 31,,,,Kepler-1582.xml
Kepler-1583,kepler-1583,19 05 33,+47 00 60,,,,Kepler-1583.xml
Kepler-1584,kepler-1584,19 11 03,+43 16 28,,,,Kepler-1584.xml
Kepler-1585,kepler-1585,19 44 38,+44 33 47,,,,Kepler-1585.xml
Kepler-1586,kepler-1586,19 52 49,+44 55 33,,,,Kepler-1586.xml
Kepler-1587,kepler-1587,19 30 43,+49 39 50,,,,Kepler-1587.xml
Kepler-1588,kepler-1588,19 12 56,+48 00 08,,,,Kepler-1588.xml
Kepler-1589,kepler-1589,19 37 46,+40 34 18,,,,Kepler-1589.xml
